Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2005-05-23,28.649999618530273,36.849998474121094,26.950000762939453,35.70000076293945,29.999305725097656,17199472,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.36734684344780116
2005-05-24,34.900001525878906,35.599998474121094,31.600000381469727,32.54999923706055,27.352310180664062,7028900,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.12658221659380012
2005-05-25,32.599998474121094,32.650001525878906,31.100000381469727,31.399999618530273,26.385942459106445,1840400,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.04983926448221894
2005-05-26,31.799999237060547,31.799999237060547,29.75,29.950000762939453,25.1674861907959,822100,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.06890753738018644
2005-05-27,29.799999237060547,35.349998474121094,29.5,34.20000076293945,28.738832473754883,5245105,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.19830503302105404
2005-05-30,34.20000076293945,35.349998474121094,33.04999923706055,33.349998474121094,28.024560928344727,1985100,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.06959150650997437
2005-05-31,33.349998474121094,33.599998474121094,32.0,32.20000076293945,27.05820083618164,583600,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.04999995231628418
2005-06-01,32.5,34.25,32.5,33.54999923706055,28.192626953125,1319900,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.05384615384615385
2005-06-02,33.849998474121094,39.20000076293945,32.900001525878906,37.54999923706055,31.553890228271484,5698500,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.19148932963133794
2005-06-03,38.25,38.25,35.75,36.5,30.67156219482422,4392719,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.06993006993006994
2005-06-06,38.0,40.099998474121094,37.349998474121094,38.54999923706055,32.39421081542969,3009000,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.07362784772013868
2005-06-07,39.0,40.849998474121094,38.099998474121094,39.75,33.402591705322266,3598200,MANGALAM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,78.79,1.073,-5.73,0.07217848058098743
