Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2006-09-14,245.0,245.5,228.10000610351562,231.60000610351562,160.76565551757812,20270,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.07628230351115363
2006-09-15,230.14999389648438,241.89999389648438,228.10000610351562,237.39999389648438,164.791748046875,9375,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.06049972566290105
2006-09-18,240.0,252.89999389648438,238.0,245.5500030517578,170.44906616210938,26245,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.06260501637178309
2006-09-19,243.60000610351562,243.9499969482422,221.0,225.25,156.3577880859375,10560,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.10384614003729496
2006-09-20,234.0,234.0,222.64999389648438,226.14999389648438,156.98248291015625,3581,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.0509768983366446
2006-09-21,225.10000610351562,227.8000030517578,220.10000610351562,220.5500030517578,153.0952606201172,2520,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.03498408330175506
2006-09-22,220.5,238.8000030517578,220.25,230.10000610351562,159.7244110107422,16615,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.08422248831672105
2006-09-25,234.89999389648438,234.89999389648438,224.10000610351562,226.10000610351562,156.9477996826172,20002,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.04819271530041838
2006-09-26,230.0,236.6999969482422,221.0,234.14999389648438,162.5356903076172,29636,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.07104071017304157
2006-09-27,230.1999969482422,242.0,229.10000610351562,235.8000030517578,163.6810760498047,6365,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.05630726125190801
2006-09-28,237.0,238.0,227.75,230.1999969482422,159.79383850097656,21200,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.04500548847420417
2006-09-29,253.25,253.25,228.85000610351562,239.4499969482422,166.21473693847656,15144,MANUGRAPH,Industrials,Specialty Industrial Machinery,N/A,EQUITY,,22.13,1.064,-6.53,0.10662002729179539
