Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2020-08-28,79.94999694824219,79.94999694824219,76.0,76.0,76.0,367039,MAXIND,Healthcare,Medical Care Facilities,N/A,EQUITY,,8.85,2.472,-13.08,0.05197364405581826
2020-08-31,72.19999694824219,72.19999694824219,72.19999694824219,72.19999694824219,72.19999694824219,41843,MAXIND,Healthcare,Medical Care Facilities,N/A,EQUITY,,8.85,2.472,-13.08,0.0
2020-09-01,68.5999984741211,68.5999984741211,68.5999984741211,68.5999984741211,68.5999984741211,4023,MAXIND,Healthcare,Medical Care Facilities,N/A,EQUITY,,8.85,2.472,-13.08,0.0
2020-09-02,65.19999694824219,65.19999694824219,65.19999694824219,65.19999694824219,65.19999694824219,8002,MAXIND,Healthcare,Medical Care Facilities,N/A,EQUITY,,8.85,2.472,-13.08,0.0
2020-09-03,61.95000076293945,61.95000076293945,61.95000076293945,61.95000076293945,61.95000076293945,12422,MAXIND,Healthcare,Medical Care Facilities,N/A,EQUITY,,8.85,2.472,-13.08,0.0
2020-09-04,58.900001525878906,58.900001525878906,58.900001525878906,58.900001525878906,58.900001525878906,111419,MAXIND,Healthcare,Medical Care Facilities,N/A,EQUITY,,8.85,2.472,-13.08,0.0
2020-09-07,56.0,56.0,56.0,56.0,56.0,41375,MAXIND,Healthcare,Medical Care Facilities,N/A,EQUITY,,8.85,2.472,-13.08,0.0
2020-09-08,53.20000076293945,53.20000076293945,53.20000076293945,53.20000076293945,53.20000076293945,30031,MAXIND,Healthcare,Medical Care Facilities,N/A,EQUITY,,8.85,2.472,-13.08,0.0
2020-09-09,50.54999923706055,50.54999923706055,50.54999923706055,50.54999923706055,50.54999923706055,129143,MAXIND,Healthcare,Medical Care Facilities,N/A,EQUITY,,8.85,2.472,-13.08,0.0
2020-09-10,48.04999923706055,53.04999923706055,48.04999923706055,53.04999923706055,53.04999923706055,4794859,MAXIND,Healthcare,Medical Care Facilities,N/A,EQUITY,,8.85,2.472,-13.08,0.10405827428491495
