Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2010-01-11,92.5,109.69999694824219,92.5,103.2750015258789,92.21195220947266,16904532,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.1859459129539696
2010-01-12,103.5,103.94999694824219,94.0,95.0999984741211,84.91266632080078,3013622,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.10585103136427859
2010-01-13,92.80000305175781,96.4000015258789,90.0999984741211,94.875,84.7117691040039,1780188,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.06992234360100823
2010-01-14,95.75,97.25,93.57499694824219,94.5999984741211,84.46623229980469,595966,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.03927334407278169
2010-01-15,94.5,96.4000015258789,91.5250015258789,92.32499694824219,82.4349365234375,462946,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.05326413459410413
2010-01-18,93.9000015258789,105.80000305175781,93.75,103.57499694824219,92.47980499267578,3393786,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.12853336588541667
2010-01-19,104.32499694824219,105.9000015258789,97.30000305175781,99.375,88.729736328125,1033100,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.0883864152557776
2010-01-20,101.3499984741211,119.25,100.55000305175781,117.82499694824219,105.20333099365234,3498332,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.18597708981288066
2010-01-21,121.7249984741211,123.69999694824219,106.32499694824219,110.2249984741211,98.4174575805664,4510126,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.16341406535339903
2010-01-22,106.0,122.3499984741211,104.125,116.75,104.24348449707031,3801468,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.1750299973505027
2010-01-25,118.05000305175781,122.9000015258789,113.0,115.3499984741211,102.99345397949219,1825652,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.0876106329723797
2010-01-27,113.5,118.32499694824219,104.0,107.0,95.53792572021484,1125962,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.1377403552715595
2010-01-28,109.0,111.5,100.0250015258789,101.44999694824219,90.58245086669922,793232,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.11472130266503652
2010-01-29,100.0,106.5,95.80000305175781,104.57499694824219,93.37269592285156,1307084,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.11169098755102655
2010-02-01,104.9000015258789,114.5,103.75,112.4000015258789,100.35945892333984,931860,MBLINFRA,Industrials,Engineering & Construction,N/A,EQUITY,,145.677,0.39,-3.75,0.10361445783132531
