Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2022-11-18,417.3500061035156,422.79998779296875,406.6499938964844,414.1499938964844,414.1499938964844,3521333,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.03971472799430428
2022-11-21,413.79998779296875,431.95001220703125,407.25,429.75,429.75,3295433,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.060650735928867404
2022-11-22,428.0,438.8999938964844,424.0,435.5,435.5,2071829,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.03514149503887824
2022-11-23,437.8999938964844,457.45001220703125,435.5,450.8999938964844,450.8999938964844,2598455,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.05040186499892365
2022-11-24,453.8999938964844,487.75,442.0,460.1499938964844,460.1499938964844,5041987,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.10350678733031674
2022-11-25,462.45001220703125,469.0,450.25,451.79998779296875,451.79998779296875,1228238,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.0416435313714603
2022-11-28,452.0,474.70001220703125,451.04998779296875,471.29998779296875,471.29998779296875,1989168,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.052433266941840216
2022-11-29,471.95001220703125,479.5,462.04998779296875,464.29998779296875,464.29998779296875,706270,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.03776650290671601
2022-11-30,466.8999938964844,468.5,452.0,462.25,462.25,771921,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.03650442477876106
2022-12-01,465.0,467.8999938964844,453.6000061035156,459.20001220703125,459.20001220703125,640775,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.03152554585659632
2022-12-02,459.0,464.70001220703125,455.0,457.45001220703125,457.45001220703125,305648,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.021318708147321428
2022-12-05,459.75,469.0,452.54998779296875,456.45001220703125,456.45001220703125,412743,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.036349602587011344
2022-12-06,455.0,462.3999938964844,454.75,456.6499938964844,456.6499938964844,303908,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.016822416484847443
2022-12-07,454.3999938964844,475.70001220703125,452.1000061035156,465.54998779296875,465.54998779296875,1038513,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.05220085331764411
2022-12-08,467.79998779296875,475.0,463.25,467.54998779296875,467.54998779296875,664619,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.025364274150026983
2022-12-09,467.0,474.8500061035156,457.0,463.25,463.25,652364,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.039059094318414936
2022-12-12,460.0,461.29998779296875,437.0,455.25,455.25,1436443,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.055606379388944506
2022-12-13,455.25,459.25,449.5,450.25,450.25,721197,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.021690767519466074
2022-12-14,450.0,455.79998779296875,449.04998779296875,450.45001220703125,450.45001220703125,326847,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.015031734068573315
2022-12-15,448.5,453.3999938964844,443.20001220703125,447.6499938964844,447.6499938964844,393300,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.02301439848491797
2022-12-16,444.79998779296875,451.3999938964844,430.1000061035156,446.5,446.5,596093,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.049523337574290366
2022-12-19,445.95001220703125,448.29998779296875,441.45001220703125,445.25,445.25,207141,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.015516990364755043
2022-12-20,440.1000061035156,455.3999938964844,440.1000061035156,446.8999938964844,446.8999938964844,538384,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.034764797956785415
2022-12-21,448.0,449.95001220703125,444.29998779296875,447.25,447.25,432371,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.012716688204581387
2022-12-22,449.5,461.0,444.5,446.8999938964844,446.8999938964844,769881,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.03712035995500562
2022-12-23,446.6000061035156,455.04998779296875,435.0,444.54998779296875,444.54998779296875,854686,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.0460919259608477
2022-12-26,446.79998779296875,461.8999938964844,445.1499938964844,458.3999938964844,458.3999938964844,438840,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.037627766437519174
2022-12-27,460.0,472.5,456.25,459.1000061035156,459.1000061035156,475791,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.03561643835616438
2022-12-28,460.79998779296875,466.0,455.20001220703125,459.6499938964844,459.6499938964844,186297,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.02372580734478708
2022-12-29,460.95001220703125,468.0,456.25,465.8999938964844,465.8999938964844,336105,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.025753424657534246
2022-12-30,465.8999938964844,484.79998779296875,464.1499938964844,468.79998779296875,468.79998779296875,550986,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.04448991526021603
2023-01-02,470.0,476.8500061035156,456.1000061035156,460.1000061035156,460.1000061035156,237206,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.04549440851200212
2023-01-03,460.1000061035156,464.3999938964844,456.20001220703125,458.8999938964844,458.8999938964844,124657,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.0179745319378287
2023-01-04,460.95001220703125,465.95001220703125,449.5,455.54998779296875,455.54998779296875,281391,MEDANTA,Healthcare,Medical Care Facilities,N/A,EQUITY,,27.597,2.442,17.79,0.036596245176932704
