Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2015-03-09,24.5,24.983333587646484,23.333332061767578,23.641666412353516,18.6059627532959,12726,MENONBE,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0318,23.807,2.819,4.35,0.0707143549627225
2015-03-10,24.0,24.16666603088379,23.333332061767578,23.816665649414062,18.74368667602539,12072,MENONBE,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0318,23.807,2.819,4.35,0.035714314908399034
2015-03-11,23.008333206176758,23.04166603088379,22.78333282470703,22.841665267944336,17.976362228393555,876,MENONBE,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0318,23.807,2.819,4.35,0.011338692550574181
2015-03-12,22.716665267944336,23.333332061767578,22.716665267944336,22.899999618530273,18.022274017333984,14040,MENONBE,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0318,23.807,2.819,4.35,0.027146008736300988
2015-03-13,22.16666603088379,23.333332061767578,22.16666603088379,23.141666412353516,18.21246337890625,1644,MENONBE,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0318,23.807,2.819,4.35,0.052631551775008806
2015-03-16,22.683332443237305,23.316665649414062,22.683332443237305,22.75,17.90422248840332,606,MENONBE,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0318,23.807,2.819,4.35,0.027920642073275992
2015-03-17,23.333332061767578,23.333332061767578,21.883333206176758,22.100000381469727,17.392675399780273,1578,MENONBE,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0318,23.807,2.819,4.35,0.06626042029015697
2015-03-18,22.008333206176758,22.208332061767578,22.008333206176758,22.191665649414062,17.46481704711914,678,MENONBE,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0318,23.807,2.819,4.35,0.009087414922211807
2015-03-19,22.616666793823242,22.616666793823242,22.16666603088379,22.333332061767578,17.576305389404297,3546,MENONBE,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0318,23.807,2.819,4.35,0.02030078688028628
2015-03-20,23.075000762939453,23.075000762939453,21.0,22.466665267944336,17.68124008178711,1200,MENONBE,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0318,23.807,2.819,4.35,0.09880956013997395
