Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2021-12-22,437.0,507.8999938964844,426.0,493.3500061035156,488.1299133300781,19716936,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.1922535067992591
2021-12-23,499.8999938964844,512.0,478.0,480.6000061035156,475.51483154296875,2173869,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.07112970711297072
2021-12-24,484.0,489.0,466.04998779296875,470.45001220703125,465.47222900390625,951656,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.049243670868255075
2021-12-27,460.1000061035156,464.8999938964844,444.20001220703125,449.95001220703125,445.18914794921875,540067,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.04660058784466072
2021-12-28,446.25,464.5,446.25,460.25,455.3800964355469,419620,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.04089635854341737
2021-12-29,459.0,469.70001220703125,450.0,453.95001220703125,449.1468200683594,572715,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.04377780490451389
2021-12-30,451.0,462.0,450.0,452.1499938964844,447.3658447265625,166176,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.02666666666666667
2021-12-31,451.0,460.8999938964844,451.0,458.20001220703125,453.3518371582031,247933,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.021951205978901052
2022-01-03,454.5,461.79998779296875,450.04998779296875,453.6000061035156,448.8005065917969,327782,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.026108210907018658
2022-01-04,458.70001220703125,458.70001220703125,434.79998779296875,436.6000061035156,431.9803466796875,374329,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.05496785898127156
2022-01-05,437.25,448.70001220703125,428.75,439.8500061035156,435.1960144042969,360297,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.04653064071610787
2022-01-06,432.1000061035156,457.0,431.6499938964844,455.20001220703125,450.3835754394531,408705,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.05872815119185408
2022-01-07,465.0,471.1000061035156,456.54998779296875,468.25,463.2955017089844,319032,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.031869496658808054
2022-01-10,468.0,480.0,458.6499938964844,478.25,473.18963623046875,295438,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.04654967052792383
2022-01-11,484.75,498.1000061035156,478.0,494.54998779296875,489.31719970703125,606349,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.042050221973882064
2022-01-12,488.29998779296875,502.0,484.25,499.0,493.7201232910156,459370,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.036654620547238
2022-01-13,492.20001220703125,509.79998779296875,488.8999938964844,500.95001220703125,495.64947509765625,505248,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.042749016480678394
2022-01-14,500.8999938964844,512.0,492.95001220703125,507.95001220703125,502.575439453125,508691,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.03864486727098011
2022-01-17,545.0,609.5,545.0,605.0,598.5985717773438,5552207,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.11834862385321102
2022-01-18,621.0,673.0,595.25,605.2000122070312,598.7964477539062,5058331,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.13061738765224695
2022-01-19,596.0,621.7000122070312,586.0,608.0999755859375,601.6657104492188,887038,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.06092152253759599
2022-01-20,611.9000244140625,627.0,600.0,608.5499877929688,602.1109619140625,865251,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.045
2022-01-21,606.9000244140625,619.7000122070312,591.0,601.75,595.3829345703125,384543,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.04856178038414763
2022-01-24,600.0,609.9000244140625,556.5,597.4500122070312,591.12841796875,441786,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.09595691718609614
2022-01-25,597.0,625.0,584.0,612.9000244140625,606.4149780273438,319471,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.0702054794520548
2022-01-27,600.0,630.0,595.2999877929688,625.7999877929688,619.178466796875,397438,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.058289959547419126
2022-01-28,629.7999877929688,630.5999755859375,602.5,615.1500244140625,608.6411743164062,328952,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.04663896362811203
2022-01-31,616.0,625.0,600.5,608.9000244140625,602.4573364257812,321552,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.04079933388842631
2022-02-01,610.0,614.75,575.4000244140625,595.1500244140625,588.852783203125,326331,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.0683871635667866
2022-02-02,595.4500122070312,608.25,585.1500244140625,598.7000122070312,592.365234375,361387,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.03947701379499824
2022-02-03,592.0,603.25,589.0,591.0499877929688,584.7960815429688,364061,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.024193548387096774
2022-02-04,592.0,592.7000122070312,581.0999755859375,582.5,576.3367309570312,92462,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.019962204626488147
2022-02-07,582.0,595.5499877929688,573.2000122070312,577.9000244140625,571.7853393554688,186031,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.03899158253657717
2022-02-08,575.0,589.5,565.0,567.2000122070312,561.198486328125,136380,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.04336283185840708
2022-02-09,570.9000244140625,604.4000244140625,559.25,594.5999755859375,588.3085327148438,192902,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.08073316837561466
2022-02-10,595.0999755859375,597.0,580.0999755859375,586.4500122070312,580.244873046875,63064,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.02913295143133287
2022-02-11,584.0,584.9500122070312,573.0499877929688,578.7000122070312,572.5768432617188,70637,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.02076611930469447
2022-02-14,565.25,589.75,550.0999755859375,559.5999755859375,553.6788940429688,250995,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.07207785161566202
2022-02-15,565.0,580.0,550.2999877929688,574.5999755859375,568.5201416015625,100356,METROBRAND,Consumer Cyclical,Apparel Retail,N/A,EQUITY,0.0034,58.023,3.343,14.99,0.05397058489160797
