Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-09-11,188.0,199.47000122070312,188.0,194.77999877929688,184.6046600341797,30361690,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.06101064479097407
2007-09-12,197.39999389648438,198.5,191.72000122070312,192.60000610351562,182.5385284423828,4629340,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.03536406601360238
2007-09-13,191.32000732421875,193.77999877929688,187.22000122070312,187.22000122070312,177.4395751953125,2072210,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.03503897829196432
2007-09-14,189.74000549316406,202.97000122070312,189.02000427246094,194.94000244140625,184.75625610351562,5944305,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.07380169629101324
2007-09-17,196.0,198.24000549316406,192.0500030517578,193.0,182.91763305664062,1435285,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.03223120199450366
2007-09-18,193.0,195.4600067138672,191.0,191.60000610351562,181.5907745361328,757720,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.023350820491451242
2007-09-19,192.97999572753906,198.1999969482422,192.66000366210938,194.0,183.86538696289062,1097575,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.028755284858443964
2007-09-20,194.74000549316406,198.97000122070312,191.39999389648438,196.1999969482422,185.95046997070312,929720,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.03955071873363208
2007-09-21,193.0,201.8000030517578,193.0,197.64999389648438,187.32467651367188,1393410,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.04559587073449644
2007-09-24,199.0,215.99000549316406,198.39999389648438,210.0,199.02952575683594,2149475,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.08865933537204297
2007-09-25,207.1999969482422,211.69000244140625,195.75,204.41000366210938,193.73158264160156,1334910,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.08143040838521712
2007-09-26,205.67999267578125,207.1999969482422,198.7899932861328,199.39999389648438,188.9832763671875,353790,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.04230597085439934
2007-09-27,201.8000030517578,205.0,201.39999389648438,203.60000610351562,192.96383666992188,277125,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.017874906716064537
2007-09-28,204.99000549316406,221.60000610351562,203.0,219.0,207.55934143066406,1396310,MOTILALOFS,Financial Services,Capital Markets,N/A,EQUITY,0.0075,156.757,4.259,40.94,0.09162564583012624
