Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,238.5,242.89999389648438,233.0500030517578,234.89999389648438,110.00871276855469,7308,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.042265568400524714
2002-07-02,233.10000610351562,239.0,233.0,236.0,110.52389526367188,7512,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.02575107296137339
2002-07-03,235.10000610351562,238.9499969482422,230.39999389648438,232.0500030517578,108.67402648925781,5897,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.037109389228539715
2002-07-04,235.0,243.5,235.0,240.35000610351562,112.56110382080078,15407,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.036170212765957444
2002-07-05,247.8000030517578,247.8000030517578,240.0,240.8000030517578,112.77184295654297,10623,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.03250001271565755
2002-07-08,245.89999389648438,245.89999389648438,240.0,240.89999389648438,112.81866455078125,9487,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.02458330790201823
2002-07-09,244.39999389648438,244.5,240.0,240.5,112.63131713867188,4227,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.01875
2002-07-10,236.6999969482422,240.0500030517578,232.0500030517578,232.6999969482422,108.9783935546875,4786,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.03447532813958047
2002-07-11,237.5500030517578,237.5500030517578,227.5,230.3000030517578,107.85445404052734,7170,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.04417583759014423
2002-07-12,231.5,231.5,227.0500030517578,228.0,106.77733612060547,3511,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.019599193518741228
2002-07-15,228.0,229.0,219.0,219.6999969482422,102.89025115966797,7455,MPSLTD,Communication Services,Publishing,N/A,EQUITY,0.0358,0.987,1.607,70.02,0.045662100456621
