Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,9.197999954223633,9.760000228881836,9.041999816894531,9.605999946594238,2.4704296588897705,22955,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.07940725796584913
2002-07-02,9.779999732971191,9.90999984741211,9.517999649047852,9.836000442504883,2.5295801162719727,37880,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.041185145284542236
2002-07-03,9.84000015258789,9.880000114440918,9.65999984741211,9.739999771118164,2.5048911571502686,13305,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.022774355124627266
2002-07-04,9.479999542236328,9.600000381469727,9.447999954223633,9.489999771118164,2.4405970573425293,5570,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.0160881062640293
2002-07-05,9.600000381469727,9.600000381469727,9.359999656677246,9.484000205993652,2.439054250717163,8865,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.0256411040166298
2002-07-08,9.576000213623047,9.600000381469727,9.479999542236328,9.59000015258789,2.466315269470215,15935,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.012658316986067099
2002-07-09,9.600000381469727,9.600000381469727,9.501999855041504,9.513999938964844,2.4467694759368896,11140,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.010313673744819753
2002-07-10,9.600000381469727,9.600000381469727,9.460000038146973,9.5600004196167,2.458599090576172,14350,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.014799190566406934
2002-07-11,9.579999923706055,9.600000381469727,9.279999732971191,9.539999961853027,2.453455686569214,8130,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.03448282949422888
2002-07-12,9.600000381469727,9.600000381469727,9.5,9.501999855041504,2.44368314743042,4030,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.010526355944181743
2002-07-15,9.520000457763672,9.520000457763672,9.302000045776367,9.302000045776367,2.3922486305236816,1540,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.023435864428563314
2002-07-16,9.20199966430664,9.20199966430664,8.880000114440918,9.003999710083008,2.3156094551086426,3475,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.036261210103148256
2002-07-17,9.800000190734863,9.800000190734863,8.722000122070312,8.755999565124512,2.2518301010131836,2785,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.12359551176074388
2002-07-18,10.399999618530273,10.399999618530273,8.800000190734863,8.815999984741211,2.2672605514526367,4465,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.18181811285413152
2002-07-19,9.076000213623047,9.076000213623047,8.479999542236328,8.77400016784668,2.2564594745635986,2780,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.07028310183487849
2002-07-22,8.84000015258789,8.84000015258789,8.244000434875488,8.347999572753906,2.146902084350586,9095,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.0722949643708266
2002-07-23,8.0,8.5600004196167,7.802000045776367,8.402000427246094,2.160790205001831,45320,MUNJALSHOW,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.028299998,,4.151,7.7,0.0971546230957378
