Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2008-03-11,151.1999969482422,151.1999969482422,151.1999969482422,151.1999969482422,109.76438903808594,4071,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.0
2008-03-12,121.0,121.0,121.0,121.0,87.840576171875,4860,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.0
2008-03-13,96.80000305175781,96.80000305175781,96.80000305175781,96.80000305175781,70.2724609375,3402,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.0
2008-03-14,77.44999694824219,97.0,77.44999694824219,77.55000305175781,56.29780578613281,557268,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.2524209660695348
2008-03-17,74.5,78.0,70.0999984741211,72.0999984741211,52.34135437011719,50310,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.11269617257973778
2008-03-18,65.0999984741211,75.0,65.0999984741211,71.05000305175781,51.57910919189453,36558,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.152073759722351
2008-03-19,74.0999984741211,74.0999984741211,65.05000305175781,68.8499984741211,49.98200225830078,16911,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.1391236740628981
2008-03-24,66.0,66.5,62.0,62.79999923706055,45.589969635009766,14834,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.07258064516129033
2008-03-25,62.0,62.0,58.5,60.04999923706055,43.59360122680664,22532,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.05982905982905983
2008-03-26,60.0,66.0,58.099998474121094,59.900001525878906,43.48470687866211,52145,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.1359724911076844
2008-03-27,61.849998474121094,64.0,57.5,59.95000076293945,43.520999908447266,26169,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.11304347826086956
2008-03-28,60.29999923706055,61.849998474121094,59.099998474121094,60.0,43.55730438232422,69628,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.04653130407785339
2008-03-31,57.25,61.900001525878906,57.25,60.04999923706055,43.59360122680664,23757,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.08122273407648745
2008-04-01,59.25,61.0,58.25,60.04999923706055,43.59360122680664,22723,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.04721030042918455
2008-04-02,60.400001525878906,62.0,59.599998474121094,59.70000076293945,43.33952331542969,11120,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.0402684830087875
2008-04-03,59.29999923706055,60.349998474121094,56.599998474121094,57.95000076293945,42.06910705566406,23945,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.06625441874728304
2008-04-04,59.400001525878906,60.0,56.54999923706055,57.599998474121094,41.81501007080078,11489,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.06100797187417934
2008-04-07,57.75,59.0,57.75,57.79999923706055,41.96018981933594,5838,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.021645021645021644
2008-04-08,58.0,58.0,56.650001525878906,57.54999923706055,41.77870559692383,5918,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.023830510816568756
2008-04-09,57.25,58.95000076293945,56.20000076293945,56.650001525878906,41.12535858154297,21716,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.04893238367735861
2008-04-10,57.0,61.400001525878906,57.0,59.04999923706055,42.867652893066406,8488,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.07719300922594573
2008-04-11,58.400001525878906,60.29999923706055,58.400001525878906,59.099998474121094,42.90394592285156,2456,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.03253420653319146
2008-04-15,60.0,60.0,57.5,59.04999923706055,42.867652893066406,3009,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.043478260869565216
2008-04-16,59.0,60.79999923706055,58.45000076293945,59.349998474121094,43.08543395996094,7943,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.040205277047851186
2008-04-17,59.0,61.0,58.5,59.75,43.37581253051758,13470,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.042735042735042736
2008-04-21,61.0,61.04999923706055,59.54999923706055,60.5,43.9202880859375,21871,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.025188917199288306
2008-04-22,61.0,61.5,60.0,60.04999923706055,43.59360122680664,6275,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.025
2008-04-23,61.849998474121094,62.099998474121094,59.25,59.45000076293945,43.15802001953125,29679,NAHARCAP,Financial Services,Capital Markets,N/A,EQUITY,0.0047,0.279,0.096,7.04,0.048101240069554324
