Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2017-11-06,295.8999938964844,299.0,278.0,284.3999938964844,231.1614990234375,43029311,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.07553956834532374
2017-11-07,287.70001220703125,291.0,282.0,287.79998779296875,233.92503356933594,5980837,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.031914893617021274
2017-11-08,287.0,289.0,284.95001220703125,285.29998779296875,231.8930206298828,1885677,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.014212976379963162
2017-11-09,285.8999938964844,288.0,285.0,287.20001220703125,233.43740844726562,1476764,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.010526315789473684
2017-11-10,285.1499938964844,287.20001220703125,281.29998779296875,285.20001220703125,231.81178283691406,905132,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.020974136758245443
2017-11-13,283.20001220703125,288.0,283.20001220703125,287.20001220703125,233.43740844726562,2141637,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.016949108707875884
2017-11-14,288.95001220703125,288.95001220703125,267.8999938964844,273.3500061035156,222.18006896972656,1306130,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.07857416495007659
2017-11-15,271.04998779296875,276.5,248.10000610351562,253.5,206.0458526611328,2250713,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.11446994436846143
2017-11-16,255.0,278.6000061035156,237.5,272.1499938964844,221.2046356201172,4154606,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.17305265727796051
2017-11-17,274.0,284.0,265.5,279.0,226.7723388671875,1247735,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.0696798493408663
2017-11-20,278.75,280.8999938964844,271.0,278.95001220703125,226.7317657470703,554463,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.03653134279145526
2017-11-21,276.79998779296875,280.0,272.0,272.1499938964844,221.2046356201172,366109,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.029411764705882353
2017-11-22,274.8999938964844,276.3500061035156,267.0,269.79998779296875,219.2945556640625,925427,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.03501874945136938
2017-11-23,274.0,274.0,267.95001220703125,271.20001220703125,220.4324951171875,355274,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.022578792749948576
2017-11-24,273.8999938964844,273.8999938964844,270.1000061035156,271.75,220.8795928955078,301275,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.014068817871527214
2017-11-27,270.0,273.0,267.79998779296875,272.1499938964844,221.2046356201172,559725,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.019417522195898245
2017-11-28,270.5,271.8999938964844,267.0,268.0,217.83152770996094,210880,NAM-INDIA,Financial Services,Asset Management,N/A,EQUITY,0.0254,1.974,32.712,17.49,0.01835203706548455
