Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
1996-01-01,17.799999237060547,17.799999237060547,17.799999237060547,17.799999237060547,14.43159294128418,500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-02,17.809999465942383,17.809999465942383,17.799999237060547,17.799999237060547,14.43159294128418,1500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0005618106354192942
1996-01-03,17.799999237060547,17.799999237060547,17.799999237060547,17.799999237060547,14.43159294128418,0,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-04,17.799999237060547,17.799999237060547,17.799999237060547,17.799999237060547,14.43159294128418,0,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-05,17.579999923706055,17.579999923706055,17.579999923706055,17.579999923706055,14.253217697143555,1000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-08,17.579999923706055,17.579999923706055,17.579999923706055,17.579999923706055,14.253217697143555,0,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-09,16.0,16.0,15.800000190734863,15.800000190734863,12.81005573272705,1500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.01265821562346669
1996-01-10,15.010000228881836,15.010000228881836,15.0,15.0,12.161450386047363,1000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0006666819254557292
1996-01-11,15.0,15.0,15.0,15.0,12.161450386047363,0,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-12,15.199999809265137,15.5,15.199999809265137,15.5,12.566829681396484,2500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.019736854901274317
1996-01-15,15.5,15.5,15.5,15.5,12.566829681396484,0,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-16,15.5,15.5,15.5,15.5,12.566829681396484,0,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-17,16.600000381469727,17.0,16.600000381469727,17.0,13.782974243164062,3000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.024096362008327758
1996-01-18,17.0,17.0,17.0,17.0,13.782974243164062,0,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-19,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,12.40467643737793,1500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-22,13.800000190734863,13.800000190734863,13.800000190734863,13.800000190734863,11.188532829284668,500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-23,13.8100004196167,13.8100004196167,13.800000190734863,13.800000190734863,11.188532829284668,2000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0007246542567839933
1996-01-24,14.0,14.0,13.800000190734863,13.800000190734863,11.188532829284668,1000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.01449273960151203
1996-01-25,14.0,14.0,14.0,14.0,11.350682258605957,1000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-26,14.0,14.0,14.0,14.0,11.350682258605957,0,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-29,14.0,14.0,14.0,14.0,11.350682258605957,0,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-01-30,13.600000381469727,14.0,13.600000381469727,13.899999618530273,11.269609451293945,1500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.02941173583166078
1996-01-31,14.0,14.0,13.899999618530273,13.899999618530273,11.269609451293945,1000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.007194272245620405
1996-02-01,13.600000381469727,13.600000381469727,13.199999809265137,13.229999542236328,10.726397514343262,3500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.030303074089730497
1996-02-02,14.0,14.0,13.979999542236328,13.979999542236328,11.334470748901367,2000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0014306479555486792
1996-02-05,14.770000457763672,14.800000190734863,14.600000381469727,14.600000381469727,11.837143898010254,2000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.013698616715036242
1996-02-06,15.600000381469727,15.800000190734863,15.600000381469727,15.800000190734863,12.81005573272705,2500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.012820500280416923
1996-02-07,15.600000381469727,15.600000381469727,15.600000381469727,15.600000381469727,12.647905349731445,2000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-02-08,16.0,16.399999618530273,15.800000190734863,16.299999237060547,13.215441703796387,2000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.037974646870400065
1996-02-09,16.549999237060547,16.700000762939453,16.399999618530273,16.700000762939453,13.53974437713623,2000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.018292753133372634
1996-02-12,17.0,17.0,16.0,16.899999618530273,13.701898574829102,2000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0625
1996-02-13,16.790000915527344,17.0,16.420000076293945,17.0,13.782974243164062,3500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.035322772290568884
1996-02-14,17.0,17.979999542236328,17.200000762939453,17.200000762939453,13.945125579833984,1000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.04534876422665777
1996-02-15,17.399999618530273,17.600000381469727,17.399999618530273,17.600000381469727,14.269431114196777,3000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.011494296972653991
1996-02-16,18.0,18.100000381469727,18.0,18.040000915527344,14.62617015838623,1500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.005555576748318142
1996-02-19,17.799999237060547,18.0,17.610000610351562,17.610000610351562,14.277539253234863,3000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.022146472239142734
1996-02-20,17.600000381469727,17.790000915527344,17.600000381469727,17.600000381469727,14.269431114196777,2500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.010795484655651512
1996-02-21,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,14.269431114196777,0,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-02-22,17.5,17.5,17.5,17.5,14.188355445861816,500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.0
1996-02-23,17.5,17.5,17.299999237060547,17.299999237060547,14.026201248168945,2500,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.011560738251999795
1996-02-26,17.600000381469727,17.600000381469727,17.350000381469727,17.350000381469727,14.066739082336426,3000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.014409221585205658
1996-02-27,16.600000381469727,16.600000381469727,16.399999618530273,16.399999618530273,13.296515464782715,2000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.012195168755581758
1996-02-28,16.389999389648438,16.399999618530273,16.200000762939453,16.200000762939453,13.134364128112793,2000,NATCOPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.0041,6.342,4.136,77.33,0.012345607788386979
