Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2015-09-09,152.0,169.4499969482422,152.0,167.9499969482422,167.9499969482422,26761101,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.11480261150159334
2015-09-10,162.8000030517578,165.39999389648438,158.35000610351562,163.39999389648438,163.39999389648438,2071594,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.04452155049719464
2015-09-11,165.5,167.89999389648438,161.5,162.89999389648438,162.89999389648438,1162912,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.03962844517946981
2015-09-14,163.4499969482422,171.8000030517578,160.5500030517578,164.89999389648438,164.89999389648438,1628219,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.0700716274441505
2015-09-15,165.0,167.85000610351562,162.3000030517578,163.25,163.25,356928,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.034195951616759396
2015-09-16,164.6999969482422,166.9499969482422,161.8000030517578,162.5,162.5,332212,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.03182938071290985
2015-09-18,163.0,165.89999389648438,162.5,164.1999969482422,164.1999969482422,345656,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.020923039362980768
2015-09-21,162.6999969482422,165.64999389648438,161.6999969482422,162.35000610351562,162.35000610351562,223947,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.024427934587447915
2015-09-22,162.0,164.35000610351562,155.64999389648438,158.1999969482422,158.1999969482422,233226,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.055894716017896064
2015-09-23,156.9499969482422,160.4499969482422,156.14999389648438,158.35000610351562,158.35000610351562,132251,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.027537644699546955
2015-09-24,157.64999389648438,158.5,154.25,155.4499969482422,155.4499969482422,111108,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.027552674230145867
2015-09-28,155.0,158.25,153.35000610351562,156.4499969482422,156.4499969482422,132024,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.03195300750869706
2015-09-29,154.0,161.14999389648438,153.0,159.25,159.25,161985,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.053267933963950166
2015-09-30,159.85000610351562,161.6999969482422,156.60000610351562,158.5500030517578,158.5500030517578,180456,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.032566990076330966
2015-10-01,158.60000610351562,158.60000610351562,155.10000610351562,156.0,156.0,64867,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.02256608550785006
2015-10-05,155.1999969482422,158.39999389648438,155.1999969482422,156.89999389648438,156.89999389648438,217071,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.02061853744307326
2015-10-06,157.4499969482422,157.9499969482422,155.6999969482422,157.0500030517578,157.0500030517578,130474,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.01445086733526363
2015-10-07,155.1999969482422,157.89999389648438,154.60000610351562,156.89999389648438,156.89999389648438,185388,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.021345327701728388
2015-10-08,157.85000610351562,157.85000610351562,154.25,156.5,156.5,72563,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.02333877538745948
2015-10-09,157.39999389648438,157.5500030517578,155.5,157.0500030517578,157.0500030517578,148892,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.013183299368217443
2015-10-12,157.64999389648438,157.89999389648438,152.14999389648438,154.14999389648438,154.14999389648438,110706,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.03779165449005556
2015-10-13,155.5,155.5,151.0500030517578,153.14999389648438,153.14999389648438,59718,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.029460422762900444
2015-10-14,154.5500030517578,155.8000030517578,151.39999389648438,155.10000610351562,155.10000610351562,238508,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.029062148828630893
2015-10-15,155.8000030517578,157.0,153.39999389648438,156.0,156.0,159379,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.02346809808835416
2015-10-16,157.0,164.75,155.5500030517578,159.14999389648438,159.14999389648438,536204,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.059144948683678096
2015-10-19,159.89999389648438,164.0,155.60000610351562,160.35000610351562,160.35000610351562,315763,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.05398453449221674
2015-10-20,160.5500030517578,163.8000030517578,156.5,160.3000030517578,160.3000030517578,145458,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.046645386912190494
2015-10-21,161.6999969482422,161.9499969482422,158.6999969482422,159.75,159.75,66698,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.020478891383091474
2015-10-23,161.35000610351562,162.0,158.10000610351562,159.14999389648438,159.14999389648438,90637,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.024667892131078496
2015-10-26,160.5,160.60000610351562,157.4499969482422,158.35000610351562,158.35000610351562,115582,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.020006409757562113
2015-10-27,158.64999389648438,159.9499969482422,156.64999389648438,158.5,158.5,68816,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.02106609116077261
2015-10-28,159.89999389648438,161.60000610351562,159.0,160.10000610351562,160.10000610351562,98187,NAVKARCORP,Industrials,Integrated Freight & Logistics,N/A,EQUITY,,11.125,2.184,0.38,0.01635223964475236
