Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2016-08-30,811.0,811.0,770.4500122070312,770.4500122070312,756.5082397460938,530,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.05263156226944464
2016-08-31,731.9500122070312,731.9500122070312,731.9500122070312,731.9500122070312,718.7048950195312,131,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
2016-09-01,695.4000244140625,695.4000244140625,695.4000244140625,695.4000244140625,682.8162841796875,100,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
2016-09-02,660.6500244140625,660.6500244140625,660.6500244140625,660.6500244140625,648.6951293945312,122,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
2016-09-06,627.6500244140625,627.6500244140625,627.6500244140625,627.6500244140625,616.2922973632812,62,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
2016-09-07,596.2999877929688,596.2999877929688,596.2999877929688,596.2999877929688,585.5095825195312,68,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
2016-09-08,566.5,566.5,566.5,566.5,556.248779296875,2,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
2016-09-09,538.2000122070312,538.2000122070312,538.2000122070312,538.2000122070312,528.4609985351562,11,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
2016-09-12,511.29998779296875,511.29998779296875,511.29998779296875,511.29998779296875,502.0476989746094,5,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
2016-09-14,485.75,485.75,485.75,485.75,476.96002197265625,42,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
2016-09-15,437.20001220703125,441.0,437.20001220703125,437.20001220703125,429.2886047363281,1958,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.008691646127332009
2016-09-16,393.5,393.5,393.5,393.5,386.3793640136719,530,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
2016-09-19,354.1499938964844,354.1499938964844,354.1499938964844,354.1499938964844,347.74139404296875,545,NDGL,Financial Services,Capital Markets,N/A,EQUITY,0.0013,,,338.35,0.0
