Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2005-07-18,30.0,30.9950008392334,25.40999984741211,26.010000228881836,24.201587677001953,38319190,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.2197953965115862
2005-07-19,26.299999237060547,26.8700008392334,25.764999389648438,25.860000610351562,24.0620174407959,10474470,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.04288769554673134
2005-07-20,26.600000381469727,26.600000381469727,25.5049991607666,25.635000228881836,23.852663040161133,6811320,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.042932807556705394
2005-07-21,25.969999313354492,26.100000381469727,24.5,24.655000686645508,22.940799713134766,2147170,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.06530613801917251
2005-07-22,24.655000686645508,25.334999084472656,24.56999969482422,24.829999923706055,23.10363006591797,1459670,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.03113550668092145
2005-07-25,25.0,26.06999969482422,24.899999618530273,25.03499984741211,23.29437828063965,4078500,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.04698795559110152
2005-07-26,25.0,25.25,23.290000915527344,24.135000228881836,22.45694923400879,1607510,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.08415624763526451
2005-07-27,24.25,24.700000762939453,24.0,24.05500030517578,22.38251495361328,1114100,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.029166698455810547
2005-07-28,24.05500030517578,24.05500030517578,24.05500030517578,24.05500030517578,22.38251495361328,0,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.0
2005-07-29,23.850000381469727,24.295000076293945,23.40999984741211,23.540000915527344,21.903322219848633,705090,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.03780436713585325
2005-08-01,23.799999237060547,24.360000610351562,23.399999618530273,24.149999618530273,22.470909118652344,1049260,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.04102568407997203
2005-08-02,24.200000762939453,25.299999237060547,23.774999618530273,24.989999771118164,23.25250244140625,3723550,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.06414299234485313
2005-08-03,25.100000381469727,25.44499969482422,24.25,24.415000915527344,22.717487335205078,1374850,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.049278337930895616
2005-08-04,24.700000762939453,24.985000610351562,24.329999923706055,24.459999084472656,22.759355545043945,981710,NECLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,59.438,1.32,0.22,0.02692152440195056
