Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2008-04-08,102.0,106.48999786376953,100.80000305175781,104.76000213623047,97.262451171875,8670,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.05644835952127973
2008-04-09,108.0,117.9000015258789,104.9000015258789,112.67500305175781,104.61099243164062,4660,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.12392754824501018
2008-04-10,115.0,120.0,111.5999984741211,115.08499908447266,106.84849548339844,4450,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.07526883190618305
2008-04-11,119.9000015258789,120.0,115.63500213623047,119.5,110.94754028320312,3610,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.037748067480701857
2008-04-15,119.0,119.5,108.30000305175781,119.4749984741211,110.92432403564453,11860,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.10341640473352139
2008-04-16,122.30000305175781,143.3699951171875,117.51000213623047,143.2100067138672,132.96067810058594,35660,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.22006631359752077
2008-04-17,154.0,157.5,146.0,150.5749969482422,139.79855346679688,70700,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.07876712328767123
2008-04-21,142.5,153.0,142.5,149.72500610351562,139.0093994140625,10500,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.07368421052631578
2008-04-22,149.85000610351562,153.0,145.5,148.11000061035156,137.50994873046875,8310,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.05154639175257732
2008-04-23,149.86000061035156,153.0,141.5500030517578,144.38999938964844,134.05618286132812,7220,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.0808901215216187
2008-04-24,144.9499969482422,145.99000549316406,139.1999969482422,141.9600067138672,131.8000946044922,6580,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.04877879808752122
2008-04-25,137.25,137.49000549316406,132.6999969482422,134.36500549316406,124.74866485595703,5680,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.03609652339924433
2008-04-28,136.1999969482422,136.1999969482422,131.0500030517578,132.5,123.01717376708984,2060,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.03929793038196573
2008-04-29,135.85000610351562,159.0,133.1199951171875,158.61500549316406,147.2631072998047,101430,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.1944111015030458
2008-04-30,165.0,165.0,146.0,148.2449951171875,137.63525390625,39950,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.13013698630136986
2008-05-02,152.39999389648438,152.39999389648438,145.5050048828125,147.9149932861328,137.32888793945312,12750,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.04738661064768867
2008-05-05,143.0500030517578,163.35000610351562,143.0500030517578,152.38499450683594,141.47900390625,29960,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.14190844193420213
2008-05-06,148.3000030517578,155.0,143.00999450683594,145.6999969482422,135.2724609375,16960,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.08384033252019274
2008-05-07,145.5050048828125,150.0,142.1999969482422,144.07000732421875,133.75909423828125,10530,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.054852343313318425
2008-05-08,143.66000366210938,145.8000030517578,140.10000610351562,141.64500427246094,131.50762939453125,5450,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.040685201284221456
2008-05-09,144.47999572753906,148.0,140.0,140.7100067138672,130.63954162597656,4490,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.05714285714285714
2008-05-12,136.10000610351562,136.10000610351562,130.89999389648438,132.40499877929688,122.92892456054688,7660,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.03972507600835655
2008-05-13,135.5,139.3000030517578,131.50999450683594,133.38999938964844,123.84344482421875,12720,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.059235106610220016
2008-05-14,132.10000610351562,135.0,131.5,132.0449981689453,122.59471130371094,3380,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.026615969581749048
2008-05-15,134.5,135.39999389648438,132.5,132.77999877929688,123.277099609375,2420,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.02188674638856132
2008-05-16,137.3000030517578,137.3000030517578,131.02499389648438,134.10499572753906,124.50729370117188,18220,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.04789169584110781
2008-05-20,134.4499969482422,140.0,131.00999450683594,134.17999267578125,124.57685852050781,9490,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.06862076078245294
2008-05-21,131.43499755859375,135.39999389648438,131.43499755859375,134.9550018310547,125.29645538330078,1920,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.030166975398793833
2008-05-22,113.5999984741211,136.0,113.5999984741211,134.5449981689453,124.91580963134766,3350,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.19718311467215194
2008-05-23,131.7100067138672,134.48500061035156,129.0,129.9949951171875,120.69143676757812,3110,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.0425193845763687
2008-05-26,127.0999984741211,127.51000213623047,123.11000061035156,126.26000213623047,117.22373962402344,3530,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.0357404069861481
2008-05-27,127.99500274658203,127.99500274658203,118.51000213623047,119.91000366210938,111.32820129394531,2350,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.08003544375476676
2008-05-28,118.9000015258789,121.0,117.5,118.05500030517578,109.60594177246094,5910,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.029787234042553193
2008-05-29,120.0,122.9000015258789,115.0,115.29000091552734,107.03883361816406,5430,NESCO,Industrials,Conglomerates,N/A,EQUITY,0.0064,0.011,0.924,51.5,0.06869566544242527
