Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-08-12,508.1000061035156,512.5499877929688,505.0,505.1499938964844,416.53851318359375,7100,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.014950470877165842
2002-08-13,503.5,515.0,503.5,509.04998779296875,419.75439453125,8800,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.022840119165839126
2002-08-14,502.1000061035156,515.0,502.1000061035156,514.4000244140625,424.1659240722656,18700,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.025692080740235726
2002-08-15,514.4000244140625,514.4000244140625,514.4000244140625,514.4000244140625,424.1659240722656,0,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.0
2002-08-16,516.0,516.8499755859375,510.0,511.0,421.3623046875,9400,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.013431324678308824
2002-08-19,515.0,518.9500122070312,512.0499877929688,513.0,423.01153564453125,9100,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.013475294558257673
2002-08-20,516.5,547.3499755859375,513.2999877929688,523.2999877929688,431.50469970703125,87200,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.0663354541257115
2002-08-21,530.0,533.7999877929688,518.0,519.7000122070312,428.53619384765625,26000,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.030501906936233107
2002-08-22,521.0,531.0,516.5499877929688,524.8499755859375,432.78289794921875,17700,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.027974082951334342
2002-08-23,535.0,572.0,535.0,561.9000244140625,463.3335876464844,701900,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.0691588785046729
2002-08-26,560.0,560.0,530.0,546.4000244140625,450.5526428222656,50100,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.05660377358490566
2002-08-27,546.0,558.0,546.0,552.0,455.1702880859375,29100,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.02197802197802198
2002-08-28,541.0,557.0,541.0,555.3499755859375,457.9325866699219,20100,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.029574861367837338
2002-08-29,555.0,567.9500122070312,548.0,553.8499755859375,456.6958923339844,138400,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.03640513176465557
2002-08-30,555.0999755859375,559.9000244140625,553.0,555.0499877929688,457.6852722167969,39400,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.012477440170094937
2002-09-02,558.5,561.5,557.0,558.9500122070312,460.9010925292969,22900,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.00807899461400359
2002-09-03,560.0,560.5,556.0,558.25,460.3239440917969,8400,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.008093525179856115
2002-09-04,552.0499877929688,560.0,552.0499877929688,559.2000122070312,461.1072692871094,7800,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.014400891917078865
2002-09-05,571.0,578.0,564.0,571.2000122070312,471.0023498535156,974200,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.024822695035460994
2002-09-06,570.0,570.0,562.0,565.4000244140625,466.2198181152344,14500,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.014234875444839857
2002-09-09,560.0,563.7000122070312,555.6500244140625,560.0999755859375,461.8492736816406,16800,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.01448751451321815
2002-09-10,560.0999755859375,560.0999755859375,560.0999755859375,560.0999755859375,461.8492736816406,0,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.0
2002-09-11,563.5,563.5,556.0,560.5499877929688,462.22039794921875,32400,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.013489208633093525
2002-09-12,557.1500244140625,561.0,557.1500244140625,560.0,461.7669982910156,13200,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.006910123696012399
2002-09-13,560.0,560.0,554.5,557.0499877929688,459.33447265625,1900,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.009918845807033363
2002-09-16,551.0,559.75,551.0,558.2000122070312,460.2826232910156,5300,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.01588021778584392
2002-09-17,558.0,560.9500122070312,554.0999755859375,560.4500122070312,462.1380920410156,7300,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.012362456096212823
2002-09-18,556.25,561.0,556.25,560.7000122070312,462.3442077636719,7800,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.00853932584269663
2002-09-19,560.0,560.0,552.5,555.0499877929688,457.6852722167969,23800,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.013574660633484163
2002-09-20,550.5,561.0,550.5,552.4000244140625,455.5001220703125,2900,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.01907356948228883
2002-09-23,550.4000244140625,560.0,550.4000244140625,557.5999755859375,459.7879333496094,6000,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.017441815334505686
2002-09-24,557.9500122070312,580.0,553.0,570.8499755859375,470.71368408203125,195900,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.048824593128390596
2002-09-25,567.9500122070312,569.0,559.0,561.6500244140625,463.1275329589844,16700,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.017889087656529516
2002-09-26,560.0999755859375,563.0,557.5999755859375,559.1500244140625,461.0660095214844,4700,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.00968440575770837
2002-09-27,568.9000244140625,568.9000244140625,555.0,562.5999755859375,463.9108581542969,58000,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.025045089034346848
2002-09-30,566.0,571.4000244140625,563.2999877929688,570.0,470.0128479003906,151700,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.014379614409064712
2002-10-01,563.0,565.5499877929688,558.0,560.6500244140625,462.3031005859375,7000,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.0135304440734207
2002-10-02,560.6500244140625,560.6500244140625,560.6500244140625,560.6500244140625,462.3031005859375,0,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.0
2002-10-03,560.0,567.4000244140625,560.0,564.0,465.0654296875,8900,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.013214329310825893
2002-10-04,568.8499755859375,569.0,564.0,565.75,466.50823974609375,6800,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.008865248226950355
2002-10-07,557.0,569.5999755859375,557.0,566.0499877929688,466.7557067871094,13700,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.022621141087859068
2002-10-08,556.0,568.0,556.0,566.5,467.126708984375,8200,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.02158273381294964
2002-10-09,562.0,566.9500122070312,562.0,564.7000122070312,465.6424865722656,8800,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.008807850902190837
2002-10-10,562.5499877929688,569.0,562.25,566.5499877929688,467.1678161621094,37100,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.01200533570475767
2002-10-11,562.5,564.0,560.0,561.2000122070312,462.7564697265625,10600,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.007142857142857143
2002-10-14,575.0,575.0,560.0499877929688,560.1500244140625,461.8907775878906,1600,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.02669406755269452
2002-10-15,560.1500244140625,560.1500244140625,560.1500244140625,560.1500244140625,461.8907775878906,0,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.0
2002-10-16,560.0,561.0,556.5,560.1500244140625,461.8907775878906,5600,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.008086253369272238
2002-10-17,555.25,564.5,554.5,561.1500244140625,462.71527099609375,12400,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.018034265103697024
2002-10-18,557.0999755859375,567.7999877929688,557.0999755859375,562.5999755859375,463.9108581542969,34500,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.019206628389773966
2002-10-21,558.0999755859375,564.0,545.2000122070312,548.3499755859375,452.1606140136719,29200,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.03448273545861504
2002-10-22,585.0,591.0,550.0,552.2999877929688,455.41766357421875,13400,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.07454545454545454
2002-10-23,555.0,558.0,548.5,555.2999877929688,457.891357421875,20400,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.01731996353691887
2002-10-24,548.0499877929688,564.5,548.0499877929688,560.7999877929688,462.4266052246094,10700,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.030015532475927
2002-10-25,547.5,563.0,547.5,559.5999755859375,461.43719482421875,30200,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.028310502283105023
2002-10-28,561.5,565.0,548.9000244140625,562.5999755859375,463.9108581542969,31600,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.02933134427006782
2002-10-29,556.5,562.6500244140625,556.5,560.7000122070312,462.3442077636719,4300,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.011051256808737645
2002-10-30,549.0499877929688,562.9000244140625,549.0499877929688,556.0,458.4685363769531,16900,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.02522545656865802
2002-10-31,553.1500244140625,554.0499877929688,550.0,550.5,453.933349609375,25100,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.007363614169034091
2002-11-01,541.0999755859375,547.75,521.0499877929688,533.75,440.1216125488281,49900,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.05124270767210937
2002-11-04,533.2000122070312,537.0,529.6500244140625,535.5499877929688,441.6059265136719,4000,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.013877041909076808
2002-11-05,544.9000244140625,544.9000244140625,530.0499877929688,531.3499755859375,438.1426696777344,5300,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.028016294619544448
2002-11-06,531.3499755859375,531.3499755859375,531.3499755859375,531.3499755859375,438.1426696777344,0,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.0
2002-11-07,531.0,535.5499877929688,525.0,532.75,439.29705810546875,32100,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.02009521484375
2002-11-08,529.1500244140625,530.0,525.0,526.2000122070312,433.8960876464844,6900,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.009523809523809525
2002-11-11,525.25,528.0,522.5999755859375,524.5499877929688,432.53558349609375,5800,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.01033299783071748
2002-11-12,554.0,554.0,524.5,528.1500244140625,435.5039978027344,12600,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.05624404194470925
2002-11-13,529.9500122070312,533.7999877929688,519.0,519.5999755859375,428.4537048339844,16700,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.0285163541290342
2002-11-14,516.0999755859375,520.0,513.0499877929688,515.75,425.2791748046875,30500,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.013546462084384243
2002-11-15,515.0,517.9000244140625,513.0,514.75,424.45452880859375,13400,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.00955170451084308
2002-11-18,516.0,524.2999877929688,514.0,516.9000244140625,426.2275390625,15400,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.02003888675674854
2002-11-19,516.9000244140625,516.9000244140625,516.9000244140625,516.9000244140625,426.2275390625,0,NESTLEIND,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.0116,10.313,0.883,30.8,0.0
