Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2009-09-01,42.0,42.0,36.650001525878906,36.75,19.03426742553711,508832300,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.14597539567204137
2009-09-02,36.45000076293945,37.599998474121094,35.75,36.349998474121094,18.82709503173828,93326300,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.051748209066324304
2009-09-03,36.5,37.20000076293945,36.0,36.099998474121094,18.697603225708008,56420300,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.03333335452609592
2009-09-04,36.75,36.75,34.29999923706055,35.25,18.257360458374023,85231300,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.0714285952604999
2009-09-07,35.45000076293945,35.75,34.5,34.599998474121094,17.920700073242188,57610100,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.036231884057971016
2009-09-08,34.70000076293945,35.95000076293945,34.5,35.20000076293945,18.23146629333496,56325100,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.042029007621433426
2009-09-09,35.29999923706055,35.5,34.5,34.54999923706055,17.89479637145996,33977100,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.028985507246376812
2009-09-10,34.95000076293945,35.04999923706055,33.900001525878906,33.95000076293945,17.58403778076172,44808200,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.033923234791117765
2009-09-11,34.0,34.349998474121094,33.20000076293945,33.400001525878906,17.29917335510254,31195600,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.034638484480559464
2009-09-14,33.5,34.400001525878906,33.04999923706055,33.79999923706055,17.506343841552734,32593100,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.040847271406425245
2009-09-15,34.099998474121094,34.25,33.849998474121094,33.95000076293945,17.58403778076172,11042600,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.011816884605909636
2009-09-16,34.099998474121094,36.45000076293945,34.0,36.150001525878906,18.7235050201416,79382800,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.07205884596880745
2009-09-17,36.5,36.70000076293945,35.5,35.70000076293945,18.49043083190918,32776700,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.03380283839266065
2009-09-18,35.650001525878906,36.0,34.900001525878906,35.70000076293945,18.49043083190918,25061700,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.03151857954233691
2009-09-22,35.70000076293945,35.79999923706055,35.0,35.04999923706055,18.153772354125977,15424200,NHPC,Utilities,Utilities - Renewable,N/A,EQUITY,0.0179,79.258,0.995,3.21,0.02285712105887277
