Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
1999-01-01,37.900001525878906,40.5,37.54999923706055,40.5,22.274497985839844,25800,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.07856193935758872
1999-01-04,42.0,43.75,42.0,43.75,24.061952590942383,41700,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.041666666666666664
1999-01-05,45.0,47.0,43.099998474121094,44.75,24.6119384765625,60700,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.09048727758588247
1999-01-06,46.0,46.5,42.599998474121094,44.5,24.474443435668945,43800,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.09154933487258463
1999-01-07,44.25,44.25,40.95000076293945,41.25,22.686981201171875,28900,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.08058606045368161
1999-01-08,43.29999923706055,43.29999923706055,40.099998474121094,42.25,23.236974716186523,14800,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.07980052081559562
1999-01-11,43.0,44.0,42.0,42.0,23.099475860595703,17900,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.047619047619047616
1999-01-12,40.04999923706055,41.20000076293945,38.650001525878906,39.29999923706055,21.614511489868164,38900,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.06597669175648395
1999-01-13,40.25,42.45000076293945,40.0,42.0,23.099475860595703,20400,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.06125001907348633
1999-01-14,40.599998474121094,43.0,40.599998474121094,41.5,22.824478149414062,9600,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.059113340297505056
1999-01-15,40.349998474121094,41.400001525878906,39.0,39.5,21.724502563476562,8900,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.0615385006635617
1999-01-18,39.599998474121094,40.5,37.900001525878906,38.04999923706055,20.92702293395996,11400,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.06860154009085623
1999-01-19,38.400001525878906,38.400001525878906,35.599998474121094,36.29999923706055,19.96454429626465,20700,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.07865177448794652
1999-01-20,36.29999923706055,36.29999923706055,36.29999923706055,36.29999923706055,19.96454429626465,0,NILKAMAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.010199999,28.785,2.793,81.92,0.0
