Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2000-08-23,7.0,7.0,6.0,6.199999809265137,2.21517276763916,2900,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.16666666666666666
2000-08-24,6.099999904632568,6.199999809265137,5.0,5.550000190734863,1.9829367399215698,16700,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.23999996185302735
2000-08-25,6.0,6.0,5.5,5.599999904632568,2.0008015632629395,3660,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.09090909090909091
2000-08-28,6.550000190734863,6.550000190734863,5.75,5.800000190734863,2.0722579956054688,502,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.13913046795388925
2000-08-29,6.5,6.5,5.75,5.75,2.054394245147705,19201,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.13043478260869565
2000-08-30,6.199999809265137,6.349999904632568,5.75,5.75,2.054394245147705,12202,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.10434780950131624
2000-08-31,6.0,6.0,5.75,5.849999904632568,2.165442705154419,3900,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.043478260869565216
2000-09-01,5.849999904632568,5.849999904632568,5.849999904632568,5.849999904632568,2.165442705154419,0,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.0
2000-09-04,6.949999809265137,6.949999809265137,5.400000095367432,5.650000095367432,2.0914101600646973,3912,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.2870369789858751
2000-09-05,5.699999809265137,5.949999809265137,5.5,5.949999809265137,2.202458620071411,54802,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.08181814713911577
2000-09-06,5.949999809265137,6.0,5.699999809265137,5.949999809265137,2.202458620071411,9200,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.05263161417079772
2000-09-07,5.900000095367432,6.199999809265137,5.900000095367432,6.199999809265137,2.294999361038208,3500,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.050847408313308196
2000-09-08,6.199999809265137,6.199999809265137,5.300000190734863,5.800000190734863,2.1469342708587646,41600,NLCINDIA,Utilities,Utilities - Regulated Electric,N/A,EQUITY,0.013300001,115.745,1.159,13.47,0.1698112426681791
