Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,11.25,12.600000381469727,11.149999618530273,12.100000381469727,7.861293792724609,699835,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.13004491592355621
2002-07-02,12.199999809265137,12.399999618530273,11.5,11.600000381469727,7.536446571350098,418694,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.07826083639393681
2002-07-03,11.75,12.25,11.5,11.75,7.633900165557861,290083,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.06521739130434782
2002-07-04,11.949999809265137,11.949999809265137,11.399999618530273,11.5,7.471476078033447,218650,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.048245632380623814
2002-07-05,11.800000190734863,11.899999618530273,11.399999618530273,11.5,7.471476078033447,266487,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.043859650590449904
2002-07-08,11.399999618530273,12.0,11.399999618530273,11.699999809265137,7.601414203643799,316357,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.05263161417079772
2002-07-09,11.800000190734863,12.300000190734863,11.800000190734863,11.899999618530273,7.731352806091309,471541,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.042372880671018166
2002-07-10,12.0,13.300000190734863,11.949999809265137,12.949999809265137,8.413532257080078,2404098,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.11297074502235868
2002-07-11,12.899999618530273,13.399999618530273,12.25,12.350000381469727,8.02371597290039,1389031,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.09387751988002233
2002-07-12,12.800000190734863,12.850000381469727,12.0,12.100000381469727,7.861293792724609,478362,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.07083336512247722
2002-07-15,12.449999809265137,12.449999809265137,11.25,11.350000381469727,7.374022960662842,292324,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.1066666497124566
2002-07-16,11.550000190734863,11.75,11.0,11.100000381469727,7.211600303649902,328422,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.06818181818181818
2002-07-17,10.949999809265137,11.300000190734863,10.5,10.800000190734863,7.016690254211426,255206,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.07619049435570127
2002-07-18,11.300000190734863,11.300000190734863,11.0,11.149999618530273,7.244082927703857,127012,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.0272727446122603
2002-07-19,11.800000190734863,11.800000190734863,10.850000381469727,10.899999618530273,7.08165979385376,183774,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.08755758302899258
2002-07-22,10.600000381469727,10.850000381469727,9.800000190734863,9.899999618530273,6.431967258453369,277158,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.10714287452030426
2002-07-23,9.899999618530273,10.050000190734863,9.399999618530273,9.75,6.334513187408447,180440,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.0691489998492383
2002-07-24,9.550000190734863,9.800000190734863,9.149999618530273,9.300000190734863,6.04215145111084,171146,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.07103831686377673
2002-07-25,9.75,10.0,9.100000381469727,9.25,6.009665489196777,142624,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.0989010528354413
2002-07-26,9.300000190734863,9.300000190734863,8.800000190734863,8.899999618530273,5.782272815704346,133245,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.05681818058668092
2002-07-29,9.25,9.25,7.900000095367432,8.050000190734863,5.2300333976745605,236710,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.17088606181463337
2002-07-30,8.300000190734863,8.699999809265137,8.0,8.050000190734863,5.2300333976745605,205228,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.08749997615814209
2002-07-31,7.949999809265137,8.199999809265137,7.5,7.650000095367432,4.970156669616699,217036,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.09333330790201823
2002-08-01,8.699999809265137,9.199999809265137,8.699999809265137,9.199999809265137,5.977180480957031,294537,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.05747126562779011
2002-08-02,9.949999809265137,10.350000381469727,9.149999618530273,9.850000381469727,6.399480819702148,1360511,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.13114762983260148
2002-08-05,9.899999618530273,10.0,9.100000381469727,9.25,6.009665489196777,418809,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.0989010528354413
2002-08-06,9.100000381469727,9.100000381469727,8.75,8.949999809265137,5.814757347106934,197734,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.04000004359654018
2002-08-07,9.25,9.649999618530273,9.050000190734863,9.199999809265137,5.977180480957031,252580,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.06629827791712897
2002-08-08,9.399999618530273,9.5,8.5,8.699999809265137,5.6523332595825195,167965,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.11764705882352941
2002-08-09,9.0,9.050000190734863,8.550000190734863,8.75,5.684819221496582,90536,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.058479530859171305
2002-08-12,9.25,9.25,8.649999618530273,8.899999618530273,5.782272815704346,34032,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.06936420900925692
2002-08-13,8.949999809265137,9.0,8.699999809265137,8.75,5.684819221496582,32946,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.03448278130022205
2002-08-14,8.800000190734863,8.899999618530273,8.600000381469727,8.75,5.684819221496582,29802,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.03488363066901137
2002-08-15,8.75,8.75,8.75,8.75,5.684819221496582,0,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.0
2002-08-16,10.0,10.0,8.550000190734863,8.649999618530273,5.619849681854248,55632,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.16959061718342613
2002-08-19,8.699999809265137,8.949999809265137,8.5,8.600000381469727,5.587365627288818,45242,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.05294115403119255
2002-08-20,8.649999618530273,8.699999809265137,8.5,8.600000381469727,5.587365627288818,59855,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.023529389325310204
2002-08-21,8.550000190734863,8.800000190734863,8.449999809265137,8.600000381469727,5.587365627288818,30183,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.04142016442248473
2002-08-22,8.550000190734863,8.75,8.399999618530273,8.449999809265137,5.48991060256958,49269,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.041666713971942444
2002-08-23,8.649999618530273,8.649999618530273,8.350000381469727,8.5,5.522395133972168,53244,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.03592805070120757
2002-08-26,8.550000190734863,8.550000190734863,8.25,8.300000190734863,5.392457008361816,39582,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.03636365948301373
2002-08-27,8.300000190734863,8.399999618530273,8.050000190734863,8.100000381469727,5.262517929077148,66738,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.04347818875808743
2002-08-28,8.050000190734863,8.399999618530273,8.0,8.25,5.35997200012207,35597,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.04999995231628418
2002-08-29,8.100000381469727,8.699999809265137,7.949999809265137,8.050000190734863,5.2300333976745605,61368,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.09433962490488748
2002-08-30,8.0,8.149999618530273,7.949999809265137,8.100000381469727,5.262517929077148,50692,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.025157209316162717
2002-09-02,8.100000381469727,8.25,8.050000190734863,8.199999809265137,5.327486515045166,67849,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.02484469621445801
2002-09-03,8.0,8.149999618530273,8.0,8.0,5.1975483894348145,39956,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.01874995231628418
2002-09-04,8.899999618530273,8.899999618530273,8.0,8.350000381469727,5.4249420166015625,111468,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.11249995231628418
2002-09-05,8.350000381469727,8.399999618530273,8.0,8.050000190734863,5.2300333976745605,111471,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.04999995231628418
2002-09-06,8.0,8.100000381469727,7.900000095367432,8.0,5.1975483894348145,93899,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.0253164916060666
2002-09-09,7.900000095367432,8.0,7.650000095367432,7.900000095367432,5.132579803466797,83662,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.04575162095024232
2002-09-10,7.900000095367432,7.900000095367432,7.900000095367432,7.900000095367432,5.132579803466797,0,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.0
2002-09-11,7.900000095367432,8.100000381469727,7.75,8.0,5.1975483894348145,67572,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.045161339544480844
2002-09-12,8.050000190734863,8.149999618530273,7.849999904632568,7.900000095367432,5.132579803466797,58814,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.038216524527683676
2002-09-13,7.849999904632568,7.949999809265137,7.599999904632568,7.650000095367432,4.970156669616699,99069,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.04605261960848532
2002-09-16,7.900000095367432,7.900000095367432,7.599999904632568,7.650000095367432,4.970156669616699,57025,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.039473709802548634
2002-09-17,7.849999904632568,8.0,7.650000095367432,7.699999809265137,5.002640247344971,84327,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.04575162095024232
2002-09-18,7.699999809265137,7.75,7.599999904632568,7.599999904632568,4.937670707702637,49403,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.019736854901274317
2002-09-19,6.25,7.75,6.25,7.5,4.872702598571777,131994,NOCIL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0099,0.773,5.89,7.96,0.24
