Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-12-06,18.0,18.0,11.0,11.0,7.26980447769165,300,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.6363636363636364
2002-12-09,8.850000381469727,10.850000381469727,8.800000190734863,10.449999809265137,6.90631628036499,2600,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.23295456207980758
2002-12-10,9.0,10.0,9.0,9.25,6.113245010375977,1600,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.1111111111111111
2002-12-11,9.300000190734863,9.800000190734863,9.0,9.100000381469727,6.01411247253418,2600,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.08888891008165148
2002-12-12,9.050000190734863,9.899999618530273,9.050000190734863,9.5,6.278468608856201,2350,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.0939225867271932
2002-12-13,9.5,9.5,9.5,9.5,6.278468608856201,0,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.0
2002-12-16,9.149999618530273,9.149999618530273,7.800000190734863,7.800000190734863,5.1549530029296875,2701,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.1730768454850797
2002-12-17,7.5,8.0,7.25,8.0,5.287130832672119,1101,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.10344827586206896
2002-12-18,7.949999809265137,8.0,7.5,7.949999809265137,5.254086494445801,1500,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.06666666666666667
2002-12-19,7.5,7.5,7.5,7.5,4.956685543060303,200,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.0
2002-12-20,7.5,7.5,7.5,7.5,4.956685543060303,0,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.0
2002-12-23,6.400000095367432,7.099999904632568,6.400000095367432,7.099999904632568,4.692328929901123,500,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.10937496856786358
2002-12-24,7.800000190734863,8.0,7.75,7.900000095367432,5.221042633056641,500,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.03225806451612903
2002-12-25,7.900000095367432,7.900000095367432,7.900000095367432,7.900000095367432,5.221042633056641,0,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.0
2002-12-26,7.800000190734863,8.0,7.75,8.0,5.287130832672119,3700,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.03225806451612903
2002-12-27,6.550000190734863,7.5,6.550000190734863,7.5,4.956685543060303,500,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.14503813459561954
2002-12-30,7.5,7.5,6.699999809265137,6.75,4.461016654968262,1300,NOIDATOLL,Industrials,Infrastructure Operations,N/A,EQUITY,,32.631,0.474,-1.7,0.11940301694166887
