Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-12-19,26.25,26.25,26.0,26.239999771118164,16.754594802856445,16208,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.009615384615384616
2002-12-20,27.5,30.979999542236328,26.75,29.600000381469727,18.90000343322754,373224,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.1581308240088347
2002-12-23,29.5,30.610000610351562,28.0,28.530000686645508,18.216796875,153044,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.0932143075125558
2002-12-24,29.190000534057617,30.049999237060547,28.549999237060547,29.59000015258789,18.893619537353516,88172,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.05253940595742156
2002-12-25,29.59000015258789,29.59000015258789,29.59000015258789,29.59000015258789,18.893619537353516,0,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.0
2002-12-26,30.799999237060547,30.989999771118164,28.8799991607666,29.209999084472656,18.650981903076172,98208,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.07306096508541428
2002-12-27,30.1299991607666,30.43000030517578,29.18000030517578,29.43000030517578,18.791454315185547,27808,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.04283755952457211
2002-12-30,29.25,29.309999465942383,28.639999389648438,28.84000015258789,18.414730072021484,18444,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.02339385791104829
2002-12-31,30.0,30.799999237060547,29.309999465942383,29.989999771118164,19.149023056030273,136876,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.05083588530424619
2003-01-01,31.0,31.0,30.059999465942383,30.139999389648438,19.24479866027832,76396,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.0312708100717908
2003-01-02,30.729999542236328,30.959999084472656,29.049999237060547,29.280000686645508,18.695682525634766,64988,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.06574870559636457
2003-01-03,29.75,30.0,29.15999984741211,29.309999465942383,18.714832305908203,28568,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.028806589745659375
2003-01-06,29.0,29.459999084472656,28.6299991607666,28.780000686645508,18.376422882080078,21264,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.028990567517845168
2003-01-07,29.0,29.1299991607666,27.790000915527344,28.149999618530273,17.974159240722656,14524,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.04821871900301195
2003-01-08,28.610000610351562,29.0,28.5,28.889999389648438,18.446664810180664,15152,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.017543859649122806
2003-01-09,29.0,29.850000381469727,28.639999389648438,29.209999084472656,18.650981903076172,19444,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.042248638882954326
2003-01-10,29.18000030517578,29.25,28.25,28.329999923706055,18.089092254638672,8272,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.035398230088495575
2003-01-13,27.760000228881836,28.25,27.0,27.15999984741211,17.34203338623047,10644,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.046296296296296294
2003-01-14,27.850000381469727,28.299999237060547,27.579999923706055,27.93000030517578,17.83368682861328,10100,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.026105848997324526
2003-01-15,28.0,28.149999618530273,26.829999923706055,27.030000686645508,17.259023666381836,17700,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.049198646983890336
2003-01-16,26.299999237060547,27.229999542236328,26.25,26.540000915527344,16.94615364074707,11252,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.037333315894717264
2003-01-17,26.0,26.739999771118164,26.0,26.309999465942383,16.799293518066406,10432,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.028461529658390924
2003-01-20,26.0,26.0,25.040000915527344,25.549999237060547,16.314022064208984,19716,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.03833862018261187
2003-01-21,24.6299991607666,25.229999542236328,24.5,24.559999465942383,15.681892395019531,19196,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.029795899683115433
2003-01-22,24.510000228881836,26.110000610351562,24.25,25.350000381469727,16.186325073242188,45420,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.07670105609697164
2003-01-23,25.649999618530273,25.75,24.709999084472656,25.260000228881836,16.128856658935547,22080,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.042088262001630856
2003-01-24,24.850000381469727,25.149999618530273,24.5,24.799999237060547,15.835139274597168,23052,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.02653059667470504
2003-01-27,23.780000686645508,24.229999542236328,20.780000686645508,21.239999771118164,13.562028884887695,17948,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.16602496350291265
2003-01-28,21.079999923706055,22.479999542236328,21.079999923706055,22.030000686645508,14.066454887390137,26644,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.06641364438317042
2003-01-29,22.030000686645508,22.989999771118164,21.510000228881836,21.829999923706055,13.938751220703125,28388,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.0688051848669489
2003-01-30,21.3799991607666,21.3799991607666,20.3799991607666,20.600000381469727,13.15338134765625,31200,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.04906771546512589
2003-01-31,20.09000015258789,20.93000030517578,20.09000015258789,20.780000686645508,13.26831340789795,15304,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.04181185396754147
2003-02-03,19.0,22.40999984741211,19.0,21.84000015258789,13.945141792297363,18500,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.1794736761795847
2003-02-04,22.350000381469727,22.59000015258789,21.889999389648438,22.209999084472656,14.181386947631836,18628,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.031978107924044825
2003-02-05,21.549999237060547,22.100000381469727,21.280000686645508,21.530000686645508,13.747200965881348,11672,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.03853381900212148
2003-02-06,21.75,21.959999084472656,21.1299991607666,21.780000686645508,13.906827926635742,7516,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.03928064158408334
2003-02-07,21.3799991607666,21.700000762939453,21.190000534057617,21.649999618530273,13.823822975158691,4632,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.02406796677811019
2003-02-10,20.68000030517578,21.149999618530273,20.68000030517578,20.760000228881836,13.255542755126953,1772,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.022727239188524623
2003-02-11,20.75,21.489999771118164,20.0,20.040000915527344,12.795816421508789,10800,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.0744999885559082
2003-02-12,20.239999771118164,20.239999771118164,19.600000381469727,19.75,12.61064338684082,1552,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.032653029448586494
2003-02-13,19.75,19.75,19.75,19.75,12.61064338684082,0,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.0
2003-02-14,20.0,20.5,19.989999771118164,20.25,12.929899215698242,13856,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.02551276812012232
2003-02-17,20.290000915527344,21.5,20.290000915527344,21.329999923706055,13.619498252868652,18908,NUCLEUS,Technology,Software - Application,N/A,EQUITY,0.0087,0.59,2.071,71.58,0.05963524050640527
