Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2023-09-26,2750.0,2790.0,2612.5,2612.5,2612.5,89029,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.06794258373205742
2023-09-27,2481.89990234375,2481.89990234375,2481.89990234375,2481.89990234375,2481.89990234375,1936,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.0
2023-09-28,2357.800048828125,2443.85009765625,2357.800048828125,2360.0,2360.0,143979,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.03649590594880751
2023-09-29,2242.0,2435.0,2242.0,2410.25,2410.25,81364,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.08608385370205174
2023-10-03,2389.0,2389.0,2289.75,2298.699951171875,2298.699951171875,201692,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.04334534337809805
2023-10-04,2256.0,2294.0,2183.800048828125,2183.800048828125,2183.800048828125,52478,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.05046247307806899
2023-10-05,2126.0,2244.949951171875,2100.0,2176.699951171875,2176.699951171875,93177,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.06902378627232143
2023-10-06,2180.0,2285.5,2125.199951171875,2285.5,2285.5,30739,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.07542821970221322
2023-10-09,2289.0,2323.0,2201.550048828125,2240.85009765625,2240.85009765625,11473,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.055165655323857955
2023-10-10,2260.0,2352.85009765625,2260.0,2352.85009765625,2352.85009765625,21819,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.04108411400719027
2023-10-11,2417.0,2440.0,2285.300048828125,2355.75,2355.75,28360,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.06769349663787183
2023-10-12,2383.949951171875,2425.0,2310.050048828125,2364.0,2364.0,15581,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.04976080549864642
2023-10-13,2358.800048828125,2405.0,2325.0,2345.39990234375,2345.39990234375,21684,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.034408602150537634
2023-10-16,2302.0,2364.0,2302.0,2349.14990234375,2349.14990234375,43372,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.02693310165073849
2023-10-17,2360.0,2400.0,2334.0,2351.64990234375,2351.64990234375,33682,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.028277634961439587
2023-10-18,2352.050048828125,2365.0,2320.199951171875,2353.550048828125,2353.550048828125,30262,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.019308701737321222
2023-10-19,2354.0,2588.85009765625,2335.050048828125,2561.14990234375,2561.14990234375,114280,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.10869148134769009
2023-10-20,2558.050048828125,2590.0,2541.64990234375,2562.0,2562.0,51282,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.01902311471444772
2023-10-23,2565.0,2599.0,2460.25,2514.949951171875,2514.949951171875,59528,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.05639670765166142
2023-10-25,2540.0,2600.0,2498.10009765625,2526.949951171875,2526.949951171875,34781,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.040790960474063394
2023-10-26,2500.0,2724.449951171875,2461.60009765625,2704.550048828125,2704.550048828125,98080,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.10678007925247111
2023-10-27,2730.0,2752.949951171875,2675.0,2713.60009765625,2713.60009765625,33254,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.029140168662383177
2023-10-30,2900.0,2947.85009765625,2810.10009765625,2863.10009765625,2863.10009765625,97836,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.049019606139613925
2023-10-31,3001.0,3010.10009765625,2835.14990234375,2923.35009765625,2923.35009765625,162341,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.06170756444584214
2023-11-01,2950.0,2977.949951171875,2841.5,2895.949951171875,2895.949951171875,38693,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.04802039457042935
2023-11-02,2950.89990234375,2978.89990234375,2860.75,2879.550048828125,2879.550048828125,33968,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.041300324161059165
2023-11-03,2969.699951171875,2969.699951171875,2841.60009765625,2878.85009765625,2878.85009765625,22984,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.045080183387268914
2023-11-06,2897.0,2901.14990234375,2745.0,2810.300048828125,2810.300048828125,45477,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.05688521032559198
2023-11-07,2810.0,2822.0,2739.85009765625,2755.199951171875,2755.199951171875,21655,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.02998335653984263
2023-11-08,2756.050048828125,2778.0,2714.5,2735.550048828125,2735.550048828125,34055,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.023392890034997237
2023-11-09,2700.14990234375,2738.449951171875,2630.550048828125,2702.550048828125,2702.550048828125,53276,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.04101800016761436
2023-11-10,2679.0,2737.0,2618.64990234375,2653.050048828125,2653.050048828125,276469,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.045195082225510184
2023-11-13,2740.0,2908.550048828125,2712.60009765625,2747.39990234375,2747.39990234375,477945,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.07223694762128054
2023-11-15,2780.050048828125,2884.39990234375,2755.5,2804.199951171875,2804.199951171875,272066,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.04677913349437489
2023-11-16,2825.0,2970.699951171875,2758.85009765625,2898.85009765625,2898.85009765625,243270,NUVAMA,Financial Services,Asset Management,N/A,EQUITY,,237.489,3.868,,0.07678918607995398
