Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2011-06-17,42.0,42.900001525878906,38.0,38.95000076293945,35.58485412597656,80624,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.1289474085757607
2011-06-20,37.099998474121094,38.0,35.04999923706055,35.900001525878906,32.798362731933594,12659,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.08416550148794964
2011-06-21,35.54999923706055,36.75,34.5,35.400001525878906,32.341556549072266,3729,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.06521739130434782
2011-06-22,34.599998474121094,36.45000076293945,33.099998474121094,33.849998474121094,30.92547035217285,3831,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.10120853302871073
2011-06-23,34.04999923706055,35.400001525878906,34.04999923706055,35.099998474121094,32.06748580932617,1509,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.03964764520020887
2011-06-24,35.0,36.5,34.54999923706055,35.099998474121094,32.06748580932617,3078,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.05643996544138146
2011-06-27,34.95000076293945,35.5,34.95000076293945,35.0,31.976123809814453,2487,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.0157367446367486
2011-06-28,33.25,35.45000076293945,33.25,35.45000076293945,32.387245178222656,425,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.06616543647938204
2011-06-29,35.95000076293945,37.0,35.04999923706055,37.0,33.80332946777344,1317,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.05563483039616149
2011-06-30,35.0,37.95000076293945,35.0,35.599998474121094,32.52427673339844,1001,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.08428573608398438
2011-07-01,39.20000076293945,39.5,37.20000076293945,39.25,35.85893630981445,1320,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.06182793521208537
2011-07-04,38.0,38.0,37.25,37.75,34.488529205322266,501,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.020134228187919462
2011-07-05,37.0,37.849998474121094,33.099998474121094,35.599998474121094,32.52427673339844,3384,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.14350453833747878
2011-07-06,37.0,37.0,35.349998474121094,35.5,32.432926177978516,95,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.04667614136070851
2011-07-07,38.900001525878906,38.900001525878906,35.0,36.04999923706055,32.93540573120117,3138,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.1114286150251116
2011-07-08,36.0,36.0,33.099998474121094,34.900001525878906,31.884767532348633,9325,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.08761334318931295
2011-07-11,35.04999923706055,35.79999923706055,34.75,35.650001525878906,32.5699577331543,507,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.03021580538303732
2011-07-12,33.79999923706055,35.95000076293945,33.79999923706055,33.79999923706055,30.879802703857422,1100,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.06360951403577261
2011-07-13,35.75,35.75,33.79999923706055,34.599998474121094,31.61067771911621,2815,OMINFRAL,Industrials,Engineering & Construction,N/A,EQUITY,0.0029,13.985,1.392,4.75,0.05769233156672216
