Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-03-07,50.099998474121094,52.5,28.549999237060547,29.700000762939453,29.700000762939453,7196112,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.8388792085097547
2007-03-08,30.799999237060547,30.799999237060547,25.200000762939453,27.600000381469727,27.600000381469727,2812772,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.22222215494361286
2007-03-09,28.0,29.700000762939453,25.799999237060547,26.450000762939453,26.450000762939453,1931965,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.1511628543103493
2007-03-12,26.899999618530273,27.399999618530273,25.200000762939453,25.649999618530273,25.649999618530273,633981,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.08730153924543776
2007-03-13,26.0,28.200000762939453,25.5,26.649999618530273,26.649999618530273,1313125,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.10588238286037072
2007-03-14,25.899999618530273,26.0,24.600000381469727,25.299999237060547,25.299999237060547,460271,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.05691055271628538
2007-03-15,25.799999237060547,27.5,25.549999237060547,25.799999237060547,25.799999237060547,837347,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.07632097147427527
2007-03-16,26.25,26.399999618530273,24.700000762939453,25.0,25.0,357514,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.06882586247290909
2007-03-19,24.0,25.5,24.0,24.450000762939453,24.450000762939453,145426,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.0625
2007-03-20,25.5,25.5,22.600000381469727,22.75,22.75,392824,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.1283185650256914
2007-03-21,23.200000762939453,23.200000762939453,20.799999237060547,21.100000381469727,21.100000381469727,298405,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.1153846929764635
2007-03-22,21.649999618530273,22.799999237060547,21.549999237060547,22.100000381469727,22.100000381469727,248299,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.05800464242478098
2007-03-23,22.399999618530273,26.100000381469727,18.549999237060547,24.350000381469727,24.350000381469727,998706,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.4070081646863486
2007-03-26,24.850000381469727,25.600000381469727,23.600000381469727,23.950000762939453,23.950000762939453,316920,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.08474576134203633
2007-03-28,23.0,24.200000762939453,22.600000381469727,22.950000762939453,22.950000762939453,195158,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.07079647586119532
2007-03-29,23.25,23.600000381469727,22.649999618530273,23.0,23.0,132800,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.04194263924676822
2007-03-30,23.350000381469727,24.600000381469727,23.0,23.600000381469727,23.600000381469727,155483,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.06956523397694463
2007-04-02,22.149999618530273,23.5,22.149999618530273,22.450000762939453,22.450000762939453,59967,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.06094809953587275
2007-04-03,22.5,23.200000762939453,22.100000381469727,22.350000381469727,22.350000381469727,57575,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.049773772058033454
2007-04-04,22.600000381469727,23.149999618530273,22.0,22.299999237060547,22.299999237060547,58666,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.052272709933194245
2007-04-05,22.100000381469727,23.299999237060547,22.100000381469727,22.649999618530273,22.649999618530273,106719,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.054298589813463895
2007-04-09,23.25,24.200000762939453,22.75,23.25,23.25,88591,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.06373629727206387
2007-04-10,22.549999237060547,23.899999618530273,22.549999237060547,23.399999618530273,23.399999618530273,102535,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.05986698124809794
2007-04-11,23.5,23.950000762939453,22.899999618530273,23.0,23.0,86183,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.04585157912227812
2007-04-12,22.299999237060547,23.25,22.299999237060547,22.700000762939453,22.700000762939453,39656,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.042600932531003825
2007-04-13,22.100000381469727,23.5,22.0,22.799999237060547,22.799999237060547,60480,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.06818181818181818
2007-04-16,22.950000762939453,26.700000762939453,22.950000762939453,25.75,25.75,398444,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.16339868737850521
2007-04-17,25.100000381469727,26.25,23.149999618530273,24.299999237060547,24.299999237060547,212215,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.13390930594177422
2007-04-18,24.700000762939453,25.700000762939453,24.200000762939453,24.350000381469727,24.350000381469727,89194,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.061983469120263056
2007-04-19,24.0,24.600000381469727,24.0,24.049999237060547,24.049999237060547,37428,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.02500001589457194
2007-04-20,22.049999237060547,24.75,22.049999237060547,23.25,23.25,51826,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.12244901842905398
2007-04-23,23.399999618530273,24.350000381469727,23.299999237060547,23.5,23.5,156489,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.045064428274275106
2007-04-24,22.850000381469727,23.899999618530273,22.850000381469727,23.049999237060547,23.049999237060547,30211,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.04595182580005761
2007-04-25,22.950000762939453,24.200000762939453,22.950000762939453,23.299999237060547,23.299999237060547,61266,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.05446622912616841
2007-04-26,23.850000381469727,24.200000762939453,23.100000381469727,23.350000381469727,23.350000381469727,73978,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.04761906334651496
2007-04-27,23.299999237060547,23.549999237060547,22.350000381469727,22.5,22.5,52199,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.053691223047393474
2007-04-30,22.5,23.200000762939453,22.5,22.850000381469727,22.850000381469727,35482,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.03111114501953125
2007-05-03,23.350000381469727,23.5,22.600000381469727,22.75,22.75,50841,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.039822991298186186
2007-05-04,22.799999237060547,23.450000762939453,22.0,22.299999237060547,22.299999237060547,123159,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.06590912558815697
2007-05-07,23.0,23.0,22.299999237060547,22.350000381469727,22.350000381469727,41244,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.03139016981561669
2007-05-08,22.450000762939453,22.5,21.399999618530273,21.649999618530273,21.649999618530273,40521,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.05140188790084069
2007-05-09,21.649999618530273,22.350000381469727,21.350000381469727,21.600000381469727,21.600000381469727,50220,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.046838406657263035
2007-05-10,21.600000381469727,22.100000381469727,21.200000762939453,21.25,21.25,35445,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.042452810667044774
2007-05-11,21.200000762939453,24.0,21.0,23.200000762939453,23.200000762939453,292921,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.14285714285714285
2007-05-14,23.200000762939453,24.700000762939453,22.350000381469727,22.450000762939453,22.450000762939453,150823,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.10514542914362096
2007-05-15,22.700000762939453,24.100000381469727,22.299999237060547,23.049999237060547,23.049999237060547,185617,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.08071754286958645
2007-05-16,23.25,23.700000762939453,23.049999237060547,23.200000762939453,23.200000762939453,76371,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.02819963329256048
2007-05-17,23.450000762939453,23.700000762939453,22.649999618530273,22.850000381469727,22.850000381469727,63203,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.046357667200583944
2007-05-18,22.850000381469727,23.0,22.100000381469727,22.25,22.25,53787,ORIENTALTL,Industrials,Building Products & Equipment,N/A,EQUITY,,10.667,1.341,-2.36,0.04072396393643955
