Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,0.8186820149421692,0.9169229865074158,0.7859339714050293,0.8841760158538818,0.4345601201057434,3347056,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.16666669194641745
2002-07-02,0.9169229865074158,0.9496709704399109,0.8841760158538818,0.8841760158538818,0.4345601201057434,1940741,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.07407456593671355
2002-07-03,0.9169229865074158,0.9824180006980896,0.9169229865074158,0.9169229865074158,0.4506548047065735,1959918,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.07142913325812246
2002-07-04,0.9496709704399109,0.9496709704399109,0.9169229865074158,0.9169229865074158,0.4506548047065735,997395,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.0357150866696374
2002-07-05,0.9496709704399109,0.9496709704399109,0.9169229865074158,0.9496709704399109,0.4667498767375946,598858,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.0357150866696374
2002-07-08,0.9824180006980896,1.0479129552841187,0.9824180006980896,1.0151649713516235,0.49893924593925476,1166356,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.06666709541100575
2002-07-09,1.0479129552841187,1.0479129552841187,0.9496709704399109,0.9496709704399109,0.4667498767375946,543587,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.10344844467415874
2002-07-10,0.9824180006980896,0.9824180006980896,0.8841760158538818,0.9169229865074158,0.4506548047065735,960507,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.11111134331022518
2002-07-11,0.9169229865074158,0.9169229865074158,0.8841760158538818,0.8841760158538818,0.4345601201057434,584903,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.03703670996086561
2002-07-12,0.8841760158538818,0.9169229865074158,0.8841760158538818,0.9169229865074158,0.4506548047065735,347479,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.03703670996086561
2002-07-15,0.8841760158538818,0.8841760158538818,0.8186820149421692,0.8514289855957031,0.41846534609794617,482513,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.07999931562725128
2002-07-16,0.8514289855957031,0.8514289855957031,0.8186820149421692,0.8186820149421692,0.402370810508728,251593,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.03999962141081986
2002-07-17,0.7859339714050293,0.8186820149421692,0.7531870007514954,0.7859339714050293,0.3862755596637726,206704,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.0869571754761114
2002-07-18,0.9169229865074158,0.9169229865074158,0.7859339714050293,0.8186820149421692,0.402370810508728,45072,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.16666669194641745
2002-07-19,0.8514289855957031,0.8514289855957031,0.7859339714050293,0.7859339714050293,0.3862755596637726,322988,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.08333399060685356
2002-07-22,0.7531870007514954,0.7859339714050293,0.7531870007514954,0.7531870007514954,0.3701808750629425,128254,ORIENTPPR,Basic Materials,Paper & Paper Products,N/A,EQUITY,0.0043,19.82,0.495,0.29,0.04347787550881854
