Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-03-16,329.0,339.0,261.1000061035156,271.79998779296875,213.1421356201172,5111102,PAGEIND,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0124,11.575,1.999,510.73,0.29835309105891084
2007-03-19,281.70001220703125,282.79998779296875,264.20001220703125,268.5,210.5543975830078,1768371,PAGEIND,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0124,11.575,1.999,510.73,0.07040111554333416
2007-03-20,272.0,276.0,256.8999938964844,259.25,203.30064392089844,636655,PAGEIND,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0124,11.575,1.999,510.73,0.07434802085363929
2007-03-21,260.1000061035156,262.0,245.8000030517578,248.4499969482422,194.83140563964844,469142,PAGEIND,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0124,11.575,1.999,510.73,0.06590722842599385
2007-03-22,251.60000610351562,254.0,242.14999389648438,244.8000030517578,191.96913146972656,427544,PAGEIND,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0124,11.575,1.999,510.73,0.04893663597853044
2007-03-23,244.10000610351562,293.79998779296875,240.0,293.79998779296875,230.39434814453125,1516769,PAGEIND,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0124,11.575,1.999,510.73,0.22416661580403646
2007-03-26,310.0,338.0,296.5,300.3999938964844,235.56988525390625,3240966,PAGEIND,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0124,11.575,1.999,510.73,0.1399662731871838
2007-03-28,298.8999938964844,311.95001220703125,273.1000061035156,298.20001220703125,233.8446807861328,2079439,PAGEIND,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0124,11.575,1.999,510.73,0.1422556032048932
2007-03-29,295.1000061035156,314.79998779296875,295.0,302.3999938964844,237.13829040527344,1716241,PAGEIND,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0124,11.575,1.999,510.73,0.06711860268802966
2007-03-30,308.0,309.29998779296875,294.04998779296875,296.6000061035156,232.58998107910156,578000,PAGEIND,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0124,11.575,1.999,510.73,0.05186193039646388
