Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2011-09-30,22.115554809570312,23.471111297607422,20.622222900390625,20.96444320678711,16.336013793945312,238297,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.13814652333928723
2011-10-03,20.231111526489258,20.822221755981445,20.231111526489258,20.608888626098633,16.0589599609375,5951,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.02921788200901505
2011-10-04,20.044443130493164,20.61777687072754,20.044443130493164,20.551111221313477,16.01393699645996,2947,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.028603126387790497
2011-10-05,20.102222442626953,20.528888702392578,20.08888816833496,20.115554809570312,15.674539566040039,2497,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.021902682237594735
2011-10-07,20.53333282470703,20.711111068725586,19.91111183166504,19.920000076293945,15.522160530090332,113253,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.040178531657297616
2011-10-10,20.61777687072754,20.61777687072754,19.733333587646484,19.831111907958984,15.452897071838379,60266,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.04481976038933109
2011-10-11,22.044443130493164,22.22222137451172,19.55555534362793,19.822221755981445,15.445967674255371,41186,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.1363636053298127
2011-10-12,20.08888816833496,20.266666412353516,19.822221755981445,19.848888397216797,15.466745376586914,36168,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.022421535882472768
2011-10-13,19.920000076293945,20.257776260375977,19.559999465942383,19.844444274902344,15.463287353515625,24356,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.03567366122113416
2011-10-14,19.822221755981445,20.0,19.822221755981445,19.84000015258789,15.459821701049805,13837,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.008968633597538545
2011-10-17,19.91111183166504,20.08888816833496,19.866666793823242,19.91555404663086,15.518692970275879,19372,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.011185639585036466
2011-10-18,19.91555404663086,20.0,19.822221755981445,19.893333435058594,15.50137996673584,18101,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.008968633597538545
2011-10-19,19.906665802001953,19.91111183166504,19.688888549804688,19.822221755981445,15.445967674255371,7987,PANAMAPET,Energy,Oil & Gas Refining & Marketing,N/A,EQUITY,0.0196,2.359,3.809,32.25,0.011286735729049369
