Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-01-03,45.7599983215332,45.7599983215332,43.599998474121094,44.18000030517578,42.721500396728516,24202,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.04954128263775476
2007-01-04,44.20000076293945,44.599998474121094,43.02000045776367,44.36000061035156,42.89555740356445,29081,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.03672705717213178
2007-01-05,44.20000076293945,46.0,44.20000076293945,44.56999969482422,43.09862518310547,14709,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.04072396393643955
2007-01-08,45.380001068115234,47.20000076293945,45.0,45.720001220703125,44.210662841796875,79854,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.048888905843098955
2007-01-09,46.380001068115234,46.380001068115234,44.209999084472656,44.290000915527344,42.8278694152832,16996,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.049083963550786903
2007-01-10,44.779998779296875,45.599998474121094,44.099998474121094,44.369998931884766,42.90522384643555,30336,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.03401360661906224
2007-01-11,44.599998474121094,44.95000076293945,43.97999954223633,44.560001373291016,43.088958740234375,16899,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.022055507748961693
2007-01-12,45.18000030517578,46.70000076293945,44.810001373291016,46.31999969482422,44.79085159301758,67438,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.042178070335319624
2007-01-15,46.599998474121094,48.779998779296875,46.599998474121094,48.29999923706055,46.70548629760742,90620,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.0467811239604745
2007-01-16,48.400001525878906,49.400001525878906,47.81999969482422,48.33000183105469,46.734500885009766,81819,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.033040607301084914
2007-01-17,48.56999969482422,49.20000076293945,47.849998474121094,48.099998474121094,46.512088775634766,42186,PARACABLES,Technology,Communication Equipment,N/A,EQUITY,,16.456,3.397,3.29,0.028213214877080645
