Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2021-10-01,469.0,492.45001220703125,460.0,492.45001220703125,492.45001220703125,2132033,PARAS,Industrials,Aerospace & Defense,N/A,EQUITY,,14.844,2.349,8.27,0.07054350479789402
2021-10-04,517.0499877929688,517.0499877929688,517.0499877929688,517.0499877929688,517.0499877929688,229666,PARAS,Industrials,Aerospace & Defense,N/A,EQUITY,,14.844,2.349,8.27,0.0
2021-10-05,542.9000244140625,542.9000244140625,542.9000244140625,542.9000244140625,542.9000244140625,598641,PARAS,Industrials,Aerospace & Defense,N/A,EQUITY,,14.844,2.349,8.27,0.0
2021-10-06,570.0,570.0,570.0,570.0,570.0,87885,PARAS,Industrials,Aerospace & Defense,N/A,EQUITY,,14.844,2.349,8.27,0.0
2021-10-07,598.5,598.5,598.5,598.5,598.5,20927,PARAS,Industrials,Aerospace & Defense,N/A,EQUITY,,14.844,2.349,8.27,0.0
2021-10-08,628.4000244140625,628.4000244140625,628.4000244140625,628.4000244140625,628.4000244140625,18805,PARAS,Industrials,Aerospace & Defense,N/A,EQUITY,,14.844,2.349,8.27,0.0
2021-10-11,659.7999877929688,659.7999877929688,659.7999877929688,659.7999877929688,659.7999877929688,12686,PARAS,Industrials,Aerospace & Defense,N/A,EQUITY,,14.844,2.349,8.27,0.0
2021-10-12,692.75,692.75,626.8499755859375,626.8499755859375,626.8499755859375,772602,PARAS,Industrials,Aerospace & Defense,N/A,EQUITY,,14.844,2.349,8.27,0.10512886173835065
2021-10-13,595.5499877929688,595.5499877929688,595.5499877929688,595.5499877929688,595.5499877929688,132969,PARAS,Industrials,Aerospace & Defense,N/A,EQUITY,,14.844,2.349,8.27,0.0
2021-10-14,575.4500122070312,625.2999877929688,575.4500122070312,625.2999877929688,625.2999877929688,862242,PARAS,Industrials,Aerospace & Defense,N/A,EQUITY,,14.844,2.349,8.27,0.08662781219648812
