Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2006-11-30,228.35000610351562,287.82501220703125,228.35000610351562,263.20001220703125,254.63336181640625,47828016,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.26045546097579003
2006-12-01,274.0,274.0,253.0749969482422,255.3249969482422,247.01467895507812,9475816,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.08268301216669502
2006-12-04,256.3999938964844,258.5,240.02499389648438,247.6999969482422,239.63784790039062,12087484,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.07697117622460328
2006-12-05,254.4499969482422,262.5,248.0,261.0249938964844,252.52914428710938,10636316,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.05846774193548387
2006-12-06,262.5,272.70001220703125,259.07501220703125,260.4750061035156,251.99705505371094,9342990,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.05259094608905019
2006-12-07,260.20001220703125,262.0,257.0,259.2250061035156,250.78775024414062,3432184,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.019455252918287938
2006-12-08,259.2250061035156,260.5,249.5,251.1750030517578,242.999755859375,3896820,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.04408817635270541
2006-12-11,255.5,255.5,233.1750030517578,236.6999969482422,228.99588012695312,3343148,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.09574352591854245
2006-12-12,234.5,239.25,194.5,209.8249969482422,202.99560546875,6320292,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.2300771208226221
2006-12-13,213.5,225.75,203.0500030517578,222.3249969482422,215.08876037597656,6335196,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.11179510764378525
2006-12-14,227.35000610351562,236.39999389648438,224.0,234.47500610351562,226.8433074951172,5254386,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.055357115609305244
2006-12-15,237.5,238.4250030517578,229.27499389648438,230.4499969482422,222.94931030273438,3559486,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.03990844792871125
2006-12-18,230.75,231.39999389648438,219.75,222.3249969482422,215.08876037597656,3369214,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.05301476175874573
2006-12-19,222.0,229.6999969482422,216.5749969482422,218.75,211.630126953125,3840636,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.06060256347659862
2006-12-20,220.5,224.9499969482422,209.25,212.125,205.2207489013672,3272228,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.07502985399398895
2006-12-21,212.27499389648438,215.375,207.5749969482422,211.9250030517578,205.0272674560547,2896584,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.03757679473170222
2006-12-22,212.02499389648438,219.9499969482422,211.64999389648438,218.85000610351562,211.72686767578125,2442164,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.03921570182429228
2006-12-26,219.0,219.9499969482422,215.5500030517578,216.6999969482422,209.64683532714844,1488416,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.02041286863460563
2006-12-27,219.0,219.4499969482422,214.0,215.5749969482422,208.5584716796875,1001992,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.025467275459075643
2006-12-28,211.0,222.0,211.0,218.0749969482422,210.9770965576172,2889944,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.052132701421800945
2006-12-29,224.4250030517578,231.85000610351562,220.8000030517578,229.5749969482422,222.10279846191406,3832888,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.050045302984744876
2007-01-02,231.0,235.0,228.75,231.4250030517578,223.892578125,1781388,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.0273224043715847
2007-01-03,231.0,237.5,222.89999389648438,234.22500610351562,226.6014404296875,2557364,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.06550025349168885
2007-01-04,236.4250030517578,236.89999389648438,226.60000610351562,228.1999969482422,220.7725372314453,1622548,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.04545449035982594
2007-01-05,228.0,231.0,222.14999389648438,223.39999389648438,216.12876892089844,1687424,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.039837975902171203
2007-01-08,222.9499969482422,222.9499969482422,217.3000030517578,220.39999389648438,213.22640991210938,1411922,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.026000891933437412
2007-01-09,217.1999969482422,224.4499969482422,215.10000610351562,216.375,209.33241271972656,1098902,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.043468110550526594
2007-01-10,216.0,217.0,207.5,208.8000030517578,202.0039825439453,1105072,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.04578313253012048
2007-01-11,209.0,212.5,206.75,211.85000610351562,204.95469665527344,1351476,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.02781136638452237
2007-01-12,213.5,216.0,209.10000610351562,210.10000610351562,203.26165771484375,872130,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.0329985351271033
2007-01-15,212.0,215.875,210.52499389648438,211.4250030517578,204.5435333251953,1014910,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.025412688557759727
2007-01-16,212.47500610351562,213.5,209.125,210.22500610351562,203.38259887695312,594742,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.02092050209205021
2007-01-17,210.5,214.75,210.0,211.5500030517578,204.6644744873047,907314,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.02261904761904762
2007-01-18,212.0,217.85000610351562,211.8249969482422,212.8000030517578,205.87379455566406,1699132,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.028443334082736242
2007-01-19,214.4499969482422,214.6999969482422,210.0500030517578,211.875,204.9788818359375,694156,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.02213755690990675
2007-01-22,212.5500030517578,214.0,207.5,208.72500610351562,201.93142700195312,709436,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.03132530120481928
2007-01-23,208.0,210.8249969482422,202.52499389648438,203.8000030517578,197.16671752929688,802312,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.040982611045035526
2007-01-24,205.5,211.22500610351562,204.22500610351562,209.3000030517578,202.4877166748047,1411564,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.03427592014100324
2007-01-25,210.0,212.1999969482422,207.52499389648438,209.64999389648438,202.8262939453125,1124868,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.02252742170463454
2007-01-29,210.0,211.0,203.39999389648438,204.3000030517578,197.65045166015625,659752,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.03736482955542009
2007-01-31,205.5,207.25,196.1999969482422,198.60000610351562,192.13597106933594,1379644,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.0563200979797814
2007-02-01,199.6999969482422,201.5,193.0,196.25,189.86245727539062,1022272,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.04404145077720207
2007-02-02,197.35000610351562,203.35000610351562,197.02499389648438,201.97500610351562,195.401123046875,1333830,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.03210258801152086
2007-02-05,204.4499969482422,204.4499969482422,197.0,197.85000610351562,191.41036987304688,889424,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.037817243392092324
2007-02-06,198.0500030517578,198.6999969482422,192.5,193.1999969482422,186.91172790527344,897496,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.03220777635450487
2007-02-07,194.0,194.89999389648438,182.9499969482422,184.1999969482422,178.20465087890625,1861206,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.06531837741228781
2007-02-08,184.97500610351562,188.35000610351562,179.0,180.25,174.3832244873047,1389176,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.05223467096936103
2007-02-09,176.10000610351562,182.39999389648438,168.27499389648438,169.39999389648438,163.8863525390625,1991180,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.08393998224530674
2007-02-12,170.0,170.27499389648438,150.0,150.77499389648438,145.8675537109375,3071656,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.1351666259765625
2007-02-13,151.0,157.0,144.5,148.77499389648438,143.9326629638672,3948958,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.08650519031141868
2007-02-14,142.5,149.35000610351562,139.0,147.14999389648438,142.3605499267578,1800922,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.07446047556486061
2007-02-15,150.4499969482422,163.1999969482422,149.5,160.9250030517578,155.6872100830078,2203452,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.09163877557352634
2007-02-19,162.0,168.4499969482422,159.0749969482422,164.97500610351562,159.60540771484375,2383736,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.05893446600568108
2007-02-20,163.75,165.625,155.77499389648438,157.0,151.8899688720703,1524542,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.06323226762609378
2007-02-21,157.0,157.0,152.10000610351562,154.35000610351562,149.3262176513672,1370488,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.032215606179197366
2007-02-22,154.0,154.5,147.39999389648438,148.60000610351562,143.76336669921875,1928462,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.04816829306317201
2007-02-23,148.0,150.0,141.0,142.9250030517578,138.27308654785156,1773454,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.06382978723404255
2007-02-26,143.0,146.6999969482422,142.0,145.0749969482422,140.35308837890625,1069180,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.03309857005804357
2007-02-27,146.5,152.75,143.97500610351562,148.25,143.4247589111328,1967680,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.060948036287460206
2007-02-28,131.0500030517578,147.39999389648438,131.0500030517578,139.875,135.3223419189453,1792412,PARSVNATH,Real Estate,Real Estate - Development,N/A,EQUITY,,,0.845,-13.65,0.1247614686301776
