Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2012-12-27,68.5,77.3499984741211,68.5,74.5999984741211,70.0611343383789,129408488,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.12919705801636633
2012-12-28,74.9000015258789,77.1500015258789,72.67500305175781,73.5,69.02804565429688,14809902,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.06157548381434647
2012-12-31,73.42500305175781,76.6500015258789,72.5,74.8499984741211,70.29591369628906,8382588,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.05724140035695043
2013-01-01,75.80000305175781,83.94999694824219,75.2750015258789,82.6500015258789,77.621337890625,23287296,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.11524404180026342
2013-01-02,83.05000305175781,89.625,82.80000305175781,87.69999694824219,82.36407470703125,28335538,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.0824274963368772
2013-01-03,88.44999694824219,92.4000015258789,87.5,91.7750015258789,86.19114685058594,16827662,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.05600001743861607
2013-01-04,92.5,94.69999694824219,91.4000015258789,93.875,88.16337585449219,12499890,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.03610498213644913
2013-01-07,94.5,97.44999694824219,90.25,90.82499694824219,85.29894256591797,12390126,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.07977835953730955
2013-01-08,91.375,93.17500305175781,88.05000305175781,88.75,83.3501968383789,10552630,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.05820556300250674
2013-01-09,89.44999694824219,90.19999694824219,87.1500015258789,87.7750015258789,82.43451690673828,6870210,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.034997078243969915
2013-01-10,88.3499984741211,88.9000015258789,82.55000305175781,83.05000305175781,77.99700927734375,6637314,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.07692305559504008
2013-01-11,83.5,83.5,77.25,77.9000015258789,73.16033935546875,10038116,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.08090614886731391
2013-01-14,78.0,86.82499694824219,77.8499984741211,86.0999984741211,80.86141967773438,13364678,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.11528578869663772
2013-01-15,86.875,88.19999694824219,83.2249984741211,84.44999694824219,79.31181335449219,7698936,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.05977769378593711
2013-01-16,84.05000305175781,84.69999694824219,81.3499984741211,81.94999694824219,76.96392822265625,3344648,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.04118006806339141
2013-01-17,82.75,83.82499694824219,81.2750015258789,82.3499984741211,77.33958435058594,3543024,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.03137490463843711
2013-01-18,83.0999984741211,83.0999984741211,80.32499694824219,80.875,75.95433807373047,2031310,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.03454717250306268
2013-01-21,81.0250015258789,82.25,79.55000305175781,80.30000305175781,75.41431427001953,2160820,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.03394087799701883
2013-01-22,80.1500015258789,80.4749984741211,77.625,77.94999694824219,73.20728302001953,2650956,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.03671495618835548
2013-01-23,78.5,81.4000015258789,77.57499694824219,80.69999694824219,75.78998565673828,5241512,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.04930718308875669
2013-01-24,81.32499694824219,81.32499694824219,76.5999984741211,76.9749984741211,72.29163360595703,2832392,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.06168405441571138
2013-01-25,77.0250015258789,79.5999984741211,76.2249984741211,78.7750015258789,73.98210144042969,2190362,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.04427681295586822
2013-01-28,79.375,83.25,78.5,81.0,76.07173156738281,3438238,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.06050955414012739
2013-01-29,81.25,82.2249984741211,79.5,80.9749984741211,76.04824829101562,1724504,PCJEWELLER,Consumer Cyclical,Luxury Goods,N/A,EQUITY,,141.587,1.37,-13.52,0.034276710366303066
