Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
1996-01-02,25.396808624267578,25.505807876586914,25.06981086730957,25.505807876586914,9.447298049926758,9174,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.017391316256233642
1996-01-03,25.505807876586914,25.505807876586914,25.505807876586914,25.505807876586914,9.447298049926758,0,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0
1996-01-04,24.63381576538086,25.178810119628906,24.63381576538086,25.124311447143555,9.305994033813477,1834,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.02212383008132889
1996-01-05,25.17336082458496,25.178810119628906,25.17336082458496,25.178810119628906,9.326180458068848,2293,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0002164707001944448
1996-01-08,25.178810119628906,25.06981086730957,24.524816513061523,25.06981086730957,9.285806655883789,5963,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.022222158276201238
1996-01-09,25.06981086730957,23.434823989868164,22.562829971313477,22.568279266357422,8.359245300292969,3211,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.03864736913159148
1996-01-10,22.889827728271484,24.742813110351562,22.889827728271484,24.742813110351562,9.164688110351562,4587,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.08095235158941083
1996-01-11,24.742813110351562,26.813798904418945,24.742813110351562,26.3778018951416,9.770283699035645,6422,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.08370049859855878
1996-01-12,26.3778018951416,28.339786529541016,26.92279815673828,27.24979591369629,10.093269348144531,5963,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.05263154166046772
1996-01-15,27.24979591369629,29.974775314331055,27.24979591369629,29.974775314331055,11.102596282958984,11467,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.09999999300050305
1996-01-16,29.974775314331055,30.792268753051758,29.974775314331055,30.121923446655273,11.157097816467285,5963,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.02727271281095663
1996-01-17,29.211780548095703,31.064767837524414,28.884782791137695,29.647777557373047,10.981474876403809,15137,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.07547174794942797
1996-01-18,29.647777557373047,29.974775314331055,27.794790267944336,28.23078727722168,10.456626892089844,10091,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.07843142637060622
1996-01-19,28.23078727722168,29.429779052734375,27.958290100097656,29.3643798828125,10.876504898071289,148166,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.05263157894736842
1996-01-22,29.3643798828125,29.429779052734375,28.666784286499023,28.666784286499023,10.618120193481445,560095,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.026615987290722853
1996-01-23,28.666784286499023,29.724077224731445,28.067289352416992,28.067289352416992,10.396065711975098,99083,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.05902913713937895
1996-01-24,28.067289352416992,27.794790267944336,27.65854263305664,27.65854263305664,10.244668006896973,91743,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.004926059796254641
1996-01-25,27.65854263305664,27.467792510986328,26.595800399780273,26.92279815673828,9.972151756286621,11009,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.03278683469188838
1996-01-26,26.92279815673828,26.92279815673828,26.92279815673828,26.92279815673828,9.972151756286621,0,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0
1996-01-29,26.70479965209961,27.140796661376953,26.70479965209961,27.140796661376953,10.05289363861084,3669,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.01632654110711759
1996-01-30,27.140796661376953,27.413293838500977,27.031797409057617,27.031797409057617,10.012523651123047,5045,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.01411287690827138
1996-01-31,27.031797409057617,27.24979591369629,27.031797409057617,27.24979591369629,10.093269348144531,2293,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.008064521250282326
1996-02-01,27.26069450378418,27.26069450378418,27.26069450378418,27.26069450378418,10.097305297851562,458,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0
1996-02-02,27.26069450378418,27.467792510986328,27.467792510986328,27.467792510986328,10.1740140914917,458,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0
1996-02-05,27.467792510986328,29.64232635498047,29.620527267456055,29.620527267456055,10.971384048461914,2293,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.00073594528981814
1996-02-06,29.620527267456055,29.67502784729004,29.67502784729004,29.67502784729004,10.991570472717285,458,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0
1996-02-07,29.67502784729004,27.794790267944336,27.794790267944336,27.794790267944336,10.295133590698242,458,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0
1996-02-08,27.794790267944336,27.794790267944336,27.794790267944336,27.794790267944336,10.295133590698242,0,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0
1996-02-09,27.794790267944336,27.794790267944336,27.24979591369629,27.24979591369629,10.093269348144531,5504,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.01999994260412504
1996-02-12,27.24979591369629,27.24979591369629,27.24979591369629,27.24979591369629,10.093269348144531,0,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0
1996-02-13,27.24979591369629,29.86577606201172,27.24979591369629,28.612285614013672,10.597930908203125,4128,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.09599999048068415
1996-02-14,28.612285614013672,31.337263107299805,30.519771575927734,31.064767837524414,11.506328582763672,6880,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.026785637282320335
1996-02-15,31.064767837524414,31.064767837524414,30.737768173217773,30.84676742553711,11.425578117370605,3669,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.010638367186058739
1996-02-16,30.089223861694336,30.519771575927734,30.08377456665039,30.519771575927734,11.304461479187012,3211,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.014492762811774015
1996-02-19,30.519771575927734,30.519771575927734,30.519771575927734,30.519771575927734,11.304461479187012,7339,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0
1996-02-20,30.519771575927734,31.827760696411133,30.519771575927734,31.47896385192871,11.659744262695312,11009,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.04285710714542392
1996-02-21,31.47896385192871,31.47896385192871,31.47896385192871,31.47896385192871,11.659744262695312,0,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.0
1996-02-22,30.519771575927734,31.724212646484375,30.519771575927734,31.724212646484375,11.75058650970459,6880,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.039464288504263756
1996-02-23,31.60976219177246,32.808753967285156,31.60976219177246,32.618003845214844,12.081640243530273,195414,PEL,Financial Services,Financial Conglomerates,N/A,EQUITY,0.0106,204.828,67.749,-72.85,0.03793105965930913
