Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-02-15,249.9499969482422,262.5,222.10000610351562,234.97500610351562,201.96759033203125,16474006,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.1819000125450464
2007-02-19,244.5,245.6999969482422,223.47500610351562,227.375,195.43516540527344,3760976,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.09945179656660015
2007-02-20,232.5,241.0,217.5749969482422,220.6750030517578,189.6763458251953,2987786,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.10766403943615942
2007-02-21,222.5,224.5,206.8000030517578,208.85000610351562,179.51243591308594,2159524,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.08558992595281655
2007-02-22,210.0,216.5,205.75,210.1999969482422,180.67279052734375,1771390,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.05224787363304982
2007-02-23,212.5,226.0,210.0,218.35000610351562,187.67794799804688,3324610,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.0761904761904762
2007-02-26,220.0,220.0,207.5,214.5749969482422,184.43324279785156,535868,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.060240963855421686
2007-02-27,217.1750030517578,222.25,210.0,210.89999389648438,181.27444458007812,433854,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.058333333333333334
2007-02-28,169.10000610351562,204.5,169.10000610351562,193.9250030517578,166.68399047851562,298904,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.20934354002810648
2007-03-01,194.35000610351562,199.5,186.0500030517578,187.625,161.26895141601562,201232,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.07229237692890815
2007-03-02,192.3249969482422,196.0,181.0,183.85000610351562,158.02423095703125,188386,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.08287292817679558
2007-03-05,180.0,180.0,160.0,168.625,144.93788146972656,229906,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.125
2007-03-06,169.5,180.0,162.5,163.9250030517578,140.8981475830078,145240,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.1076923076923077
2007-03-07,166.25,170.75,164.5,166.6750030517578,143.2618408203125,148862,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.037993920972644375
2007-03-08,167.5,168.75,159.5,166.52499389648438,143.13291931152344,65812,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.05799373040752351
2007-03-09,166.0500030517578,170.0,162.0,162.875,139.99563598632812,64430,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.04938271604938271
2007-03-12,162.5500030517578,167.5,160.8249969482422,162.6750030517578,139.82373046875,46398,PGIL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.015,72.241,1.448,40.08,0.0415047609415221
