Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,5.199999809265137,5.269999980926514,5.132500171661377,5.262499809265137,3.65856671333313,5700,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.026790025263774785
2002-07-02,5.25,5.587500095367432,5.227499961853027,5.514999866485596,3.8341073989868164,23320,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.0688665970619716
2002-07-03,5.522500038146973,5.712500095367432,5.487500190734863,5.542500019073486,3.8532257080078125,26820,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.04100225910013815
2002-07-04,5.702499866485596,5.724999904632568,5.574999809265137,5.610000133514404,3.9001529216766357,11580,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.02690584762319548
2002-07-05,5.625,5.775000095367432,5.599999904632568,5.730000019073486,3.98357892036438,13920,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.03125003459198193
2002-07-08,5.800000190734863,6.0,5.75,5.9375,4.127835750579834,20340,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.043478260869565216
2002-07-09,5.875,6.002500057220459,5.75,5.869999885559082,4.080909252166748,25560,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.04391305342964504
2002-07-10,5.949999809265137,5.949999809265137,5.675000190734863,5.684999942779541,3.9522950649261475,6420,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.048458080931740616
2002-07-11,5.925000190734863,5.925000190734863,5.574999809265137,5.639999866485596,3.9210097789764404,6120,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.06278033963123338
2002-07-12,5.377500057220459,5.625,5.377500057220459,5.587500095367432,3.8845109939575195,4320,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.046025093472052823
2002-07-15,5.554999828338623,5.554999828338623,5.375,5.392499923706055,3.748944044113159,2980,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.033488340156022894
2002-07-16,5.375,5.489999771118164,5.375,5.4375,3.780228853225708,2360,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.02139530625454215
2002-07-17,5.377500057220459,5.382500171661377,5.25,5.269999980926514,3.663780450820923,8500,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.02523812793550037
2002-07-18,5.25,5.425000190734863,5.25,5.385000228881836,3.743729829788208,7020,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.03333336966378348
2002-07-19,5.400000095367432,5.525000095367432,5.400000095367432,5.489999771118164,3.816727876663208,2340,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.023148147739337148
2002-07-22,5.300000190734863,5.375,5.224999904632568,5.244999885559082,3.64639949798584,5400,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.02870815274741712
2002-07-23,5.175000190734863,5.699999809265137,5.175000190734863,5.59250020980835,3.8879871368408203,12720,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.10144919790925112
2002-07-24,5.552499771118164,5.800000190734863,5.53249979019165,5.71750020980835,3.974889039993286,21640,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.04835072945098954
2002-07-25,5.75,5.869999885559082,5.625,5.682499885559082,3.9505555629730225,15400,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.043555535210503475
2002-07-26,5.675000190734863,5.675000190734863,5.275000095367432,5.329999923706055,3.705493688583374,9620,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.07582940059445999
2002-07-29,5.224999904632568,5.387499809265137,5.199999809265137,5.289999961853027,3.677684783935547,5860,PIDILITIND,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0052,4.439,2.086,34.07,0.03605769363028063
