Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2022-04-28,1018.5499877929688,1020.0499877929688,991.2000122070312,1008.1500244140625,994.7298583984375,3508,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.0291061089897481
2022-04-29,1008.0,1121.199951171875,917.4000244140625,1052.8499755859375,1038.8348388671875,65581,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.22214946733621269
2022-05-02,1075.0,1096.949951171875,1025.0,1048.0,1034.0494384765625,12966,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.07019507431402439
2022-05-04,1000.0,1084.199951171875,994.0999755859375,1012.1500244140625,998.6765747070312,14732,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.09063472266240749
2022-05-05,1064.949951171875,1064.949951171875,925.0,938.0,925.513671875,28732,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.15129724451013513
2022-05-06,920.0,1030.0,901.0,959.8499755859375,947.07275390625,22458,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.14317425083240842
2022-05-09,970.0,970.0,888.0,907.2000122070312,895.1237182617188,16103,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.09234234234234234
2022-05-10,920.7999877929688,1049.800048828125,882.0499877929688,895.7000122070312,883.7767944335938,25919,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.19018203430272013
2022-05-11,900.0,931.4500122070312,802.5499877929688,860.0499877929688,848.6012573242188,23925,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.16061307877972883
2022-05-12,850.0499877929688,876.0,797.7999877929688,828.25,817.224609375,23627,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.09801957057352621
2022-05-13,850.0,880.0,810.5,822.4500122070312,811.5017700195312,24073,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.08574953732264035
2022-05-16,785.5,819.7999877929688,713.7000122070312,797.0,786.390625,62481,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.1486618660098325
2022-05-17,804.0,836.0,790.0,807.0499877929688,796.3068237304688,25837,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.05822784810126582
2022-05-18,819.0999755859375,838.6500244140625,790.0999755859375,810.6500244140625,799.8589477539062,19570,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.061447981683736067
2022-05-19,790.0,802.6500244140625,786.0,795.7999877929688,785.2066040039062,7438,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.021183237168018447
2022-05-20,800.0,875.0,800.0,825.5999755859375,814.60986328125,10212,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.09375
2022-05-23,842.1500244140625,849.8499755859375,820.0499877929688,823.0,812.0444946289062,7866,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.03633923326207293
2022-05-24,824.0,842.5499877929688,785.1500244140625,796.6500244140625,786.0452270507812,5955,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.07310700069294704
2022-05-25,796.6500244140625,825.0,760.0,766.2999877929688,756.0993041992188,11589,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.08552631578947369
2022-05-26,770.0499877929688,790.0499877929688,742.0,774.9500122070312,764.6341552734375,7949,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.06475739594739724
2022-05-27,790.4500122070312,806.8499755859375,775.7000122070312,786.4500122070312,775.9810791015625,3288,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.04015722945559584
2022-05-30,819.0,819.0,776.25,783.2000122070312,772.7742919921875,7781,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.05507246376811594
2022-05-31,775.0,799.75,739.5999755859375,772.5,762.2167358398438,9060,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.08132778042131425
2022-06-01,807.0,807.0,772.5,801.9500122070312,791.2747192382812,6786,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.04466019417475728
2022-06-02,789.0999755859375,846.0,786.9500122070312,842.75,831.5315551757812,16262,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.0750365167761556
2022-06-03,845.0,897.0,830.4500122070312,857.7999877929688,846.3812255859375,29365,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.0801372590941426
2022-06-06,874.0,874.0,814.4500122070312,861.9500122070312,850.47607421875,14701,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.07311681122282467
2022-06-07,858.9500122070312,888.0,850.2000122070312,873.9000244140625,862.2669677734375,25210,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.0444601120327485
2022-06-08,875.0499877929688,893.0499877929688,850.0,858.75,847.318603515625,11459,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.050647044462316174
2022-06-09,871.6500244140625,887.9500122070312,851.5499877929688,877.0,865.32568359375,6766,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.042745610869425764
2022-06-10,863.8499755859375,896.0,856.8499755859375,880.2000122070312,868.4830932617188,12863,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.04569064075340685
2022-06-13,860.0999755859375,880.2000122070312,821.25,831.9000244140625,820.8260498046875,15980,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.07178083678177322
2022-06-14,822.0,860.0,822.0,838.4500122070312,827.288818359375,4684,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.046228710462287104
2022-06-15,841.0999755859375,851.0999755859375,821.5,830.4500122070312,819.3953247070312,5069,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.03603161970290627
2022-06-16,854.5,855.3499755859375,778.7000122070312,797.2999877929688,786.6865844726562,11614,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.09843323767475105
2022-06-17,790.0,797.0999755859375,771.4500122070312,781.0499877929688,770.6528930664062,8911,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.033249028417958806
2022-06-20,792.75,799.0,754.5499877929688,760.2999877929688,750.1791381835938,7015,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.058909300809938274
2022-06-21,763.0,804.9000244140625,763.0,784.6500244140625,774.2050170898438,15751,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.0549148419581422
2022-06-22,796.4000244140625,804.0999755859375,765.75,782.4500122070312,772.0343017578125,8988,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.050081587444906955
2022-06-23,804.0,804.0,768.8499755859375,785.75,775.2904052734375,3169,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.04571766343268049
2022-06-24,796.6500244140625,822.0,792.0999755859375,813.0999755859375,802.2762451171875,6349,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.03774779110672823
2022-06-27,825.2999877929688,849.9000244140625,781.4000244140625,830.2999877929688,819.247314453125,13596,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.08766316593266699
2022-06-28,849.0,849.0,801.5,822.0499877929688,811.1071166992188,5863,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.059263880224578916
2022-06-29,814.7000122070312,845.0,810.0499877929688,834.4000244140625,823.2927856445312,2921,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.043145500566273344
2022-06-30,848.0,848.0,824.4500122070312,830.4000244140625,819.3460083007812,1748,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.02856448231461122
2022-07-01,823.5999755859375,826.2999877929688,805.0,811.0999755859375,800.3028564453125,3339,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.026459612165178573
2022-07-04,810.0,826.0999755859375,801.25,820.6500244140625,809.725830078125,5666,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.031014010091653665
2022-07-05,824.9000244140625,829.4500122070312,802.0,808.2999877929688,797.5401611328125,6197,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.0342269478890664
2022-07-06,802.0,819.0,790.2000122070312,803.7000122070312,793.00146484375,3894,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.036446453237238365
2022-07-07,829.9500122070312,829.9500122070312,806.25,819.4500122070312,808.5418090820312,3993,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.02939536397771318
2022-07-08,820.7000122070312,841.5999755859375,813.0499877929688,837.0999755859375,825.956787109375,4379,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.0351146771067151
2022-07-11,850.0,850.0,820.0,839.3499755859375,834.1557006835938,3910,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.036585365853658534
2022-07-12,840.7000122070312,889.5,840.7000122070312,880.4500122070312,875.0014038085938,20353,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.0580468503442239
2022-07-13,888.0,888.0,865.0999755859375,878.25,872.8150024414062,6284,PIXTRANS,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0050999997,8.936,4.984,60.9,0.026470957184517516
