,,0
trip_id,trip_id,1
to_station_id,to_station_id,1
tripduration,tripduration,1
bikeid,bikeid,1
birthyear,birthyear,1
from_station_id,from_station_id,1
to_station_id,from_station_id,0.41305236618785257
from_station_id,to_station_id,0.41305236618785257
from_station_id,birthyear,0.030394984266779678
birthyear,from_station_id,0.030394984266779678
birthyear,to_station_id,0.029559761819918824
to_station_id,birthyear,0.029559761819918824
birthyear,trip_id,0.015979141248766718
trip_id,birthyear,0.015979141248766718
tripduration,from_station_id,0.012801057552413977
from_station_id,tripduration,0.012801057552413977
to_station_id,tripduration,0.01272959344274084
tripduration,to_station_id,0.01272959344274084
trip_id,tripduration,0.0035852316140168746
tripduration,trip_id,0.0035852316140168746
from_station_id,bikeid,0.00355869406783131
bikeid,from_station_id,0.00355869406783131
tripduration,bikeid,0.003179708112541548
bikeid,tripduration,0.003179708112541548
to_station_id,bikeid,0.0025866379768922122
bikeid,to_station_id,0.0025866379768922122
trip_id,to_station_id,0.0006872587328246786
to_station_id,trip_id,0.0006872587328246786
from_station_id,trip_id,-0.0013685580868019484
trip_id,from_station_id,-0.0013685580868019484
birthyear,bikeid,-0.0067345328087081635
bikeid,birthyear,-0.0067345328087081635
birthyear,tripduration,-0.0093176412441523
tripduration,birthyear,-0.0093176412441523
trip_id,bikeid,-0.010115117983494074
bikeid,trip_id,-0.010115117983494074
